action_ready,action_ready_fraction,action_ready_step,bind_fraction,bind_update_index,bound_token_count,elapsed_ms,estimated_action_ready_ms,policy,request_index,result_present,result_terms_present,result_token_count,success,target_tool
True,0.14814814814814814,4,,,10,2871.1720569990575,425.3588232591196,no_bind,0,False,False,10,False,weather
True,,,,,0,1745.6662639742717,,restart_with_result,0,True,True,10,True,weather
True,0.14814814814814814,4,0.25,32,10,2123.096834984608,425.3588232591196,bind,0,False,False,10,False,weather
True,0.14814814814814814,4,0.5,64,10,2126.6747580375522,425.3588232591196,bind,0,False,False,10,False,weather
True,0.14814814814814814,4,0.75,96,10,2129.466946993489,425.3588232591196,bind,0,False,False,10,False,weather
True,0.13513513513513514,5,,,10,2925.8249740232714,395.38175324638803,no_bind,1,False,False,10,False,weather
True,,,,,0,1753.638475027401,,restart_with_result,1,True,True,10,True,weather
True,0.13513513513513514,5,0.25,32,10,2931.5380140324123,395.38175324638803,bind,1,True,True,10,True,weather
True,0.13513513513513514,5,0.5,64,10,2932.2714809677564,395.38175324638803,bind,1,False,False,10,False,weather
True,0.13513513513513514,5,0.75,96,10,2935.8213410014287,395.38175324638803,bind,1,False,False,10,False,weather
True,0.14285714285714285,5,,,10,2783.3106929901987,397.6158132843141,no_bind,2,False,False,10,False,weather
True,,,,,0,1843.9425379619934,,restart_with_result,2,True,True,10,True,weather
True,0.14285714285714285,5,0.25,32,10,2874.4097980088554,397.6158132843141,bind,2,True,True,10,True,weather
True,0.14285714285714285,5,0.5,64,10,2799.5131330098957,397.6158132843141,bind,2,False,False,10,False,weather
True,0.14285714285714285,5,0.75,96,10,2805.393589020241,397.6158132843141,bind,2,False,False,10,False,weather
True,0.1891891891891892,7,,,10,2974.370355019346,562.7187158144709,no_bind,3,False,False,10,False,weather
True,,,,,0,1624.0095419925638,,restart_with_result,3,True,True,10,True,weather
True,0.1891891891891892,7,0.25,32,10,2984.700212953612,562.7187158144709,bind,3,True,True,10,True,weather
True,0.1891891891891892,7,0.5,64,10,2987.6258129952475,562.7187158144709,bind,3,False,False,10,False,weather
True,0.1891891891891892,7,0.75,96,10,2991.192855988629,562.7187158144709,bind,3,False,False,10,False,weather
True,0.16,4,,,9,2028.013506962452,324.48216111399233,no_bind,4,False,False,9,False,weather
True,,,,,0,1799.2977899848484,,restart_with_result,4,True,True,9,True,weather
True,0.16,4,0.25,32,9,2038.0619739880785,324.48216111399233,bind,4,False,False,9,False,weather
True,0.16,4,0.5,64,9,2038.1369710084982,324.48216111399233,bind,4,False,False,9,False,weather
True,0.16,4,0.75,96,9,2039.3436099984683,324.48216111399233,bind,4,False,False,9,False,weather
True,0.08823529411764706,3,,,13,2780.89173999615,245.37280058789563,no_bind,5,False,False,13,False,crm_api
True,,,,,0,1818.8288069795817,,restart_with_result,5,True,True,13,True,crm_api
True,0.08823529411764706,3,0.25,32,13,2783.123426954262,245.37280058789563,bind,5,True,True,13,True,crm_api
True,0.08823529411764706,3,0.5,64,13,2784.9023179733194,245.37280058789563,bind,5,False,False,13,False,crm_api
True,0.08823529411764706,3,0.75,96,13,2787.425133981742,245.37280058789563,bind,5,False,False,13,False,crm_api
True,0.11538461538461539,3,,,13,2133.575523039326,246.18179111992225,no_bind,6,False,False,13,False,crm_api
True,,,,,0,1739.3135190359317,,restart_with_result,6,True,True,13,True,crm_api
True,0.11538461538461539,3,0.25,32,13,2135.985917993821,246.18179111992225,bind,6,False,False,13,False,crm_api
True,0.11538461538461539,3,0.5,64,13,2142.4285109969787,246.18179111992225,bind,6,False,False,13,False,crm_api
True,0.11538461538461539,3,0.75,96,13,2143.4705890133046,246.18179111992225,bind,6,False,False,13,False,crm_api
True,0.09375,3,,,12,2639.5564199774526,247.45841437288618,no_bind,7,False,False,12,False,crm_api
True,,,,,0,1664.7953540086746,,restart_with_result,7,True,True,12,True,crm_api
True,0.09375,3,0.25,32,12,2640.334330033511,247.45841437288618,bind,7,False,False,12,False,crm_api
True,0.09375,3,0.5,64,12,2642.163314973004,247.45841437288618,bind,7,False,False,12,False,crm_api
True,0.09375,3,0.75,96,12,2642.618104000576,247.45841437288618,bind,7,False,False,12,False,crm_api
True,0.3,6,,,23,1691.155469045043,507.3466407135129,no_bind,8,False,False,23,False,calendar_api
True,,,,,0,2222.6113289943896,,restart_with_result,8,True,True,23,True,calendar_api
True,0.3,6,0.25,32,23,1693.670630978886,507.3466407135129,bind,8,False,False,23,False,calendar_api
True,0.3,6,0.5,64,23,1691.7647009831853,507.3466407135129,bind,8,False,False,23,False,calendar_api
True,0.3,6,0.75,96,23,1692.1872689854354,507.3466407135129,bind,8,False,False,23,False,calendar_api
True,0.2777777777777778,5,,,23,1527.5346530252136,424.3151813958927,no_bind,9,False,False,23,False,calendar_api
True,,,,,0,2759.839523001574,,restart_with_result,9,True,True,23,True,calendar_api
True,0.2777777777777778,5,0.25,32,23,1528.3044169773348,424.3151813958927,bind,9,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.5,64,23,1527.557174966205,424.3151813958927,bind,9,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.75,96,23,1528.0674289679155,424.3151813958927,bind,9,False,False,23,False,calendar_api
