ar_false_starts,ar_ready_fraction,ar_ready_step,ar_stable_fraction,ar_stable_step,args,bias_strength,call_index,dllm_false_starts,dllm_ready_fraction,dllm_ready_step,dllm_stable_fraction,dllm_stable_step,final_ready,prompt_format,request_index,tool
0,0.2727272727272727,3,0.2727272727272727,3,"{""date"": ""2027-02-22"", ""location"": ""Seoul""}",0.0,0,0,0.45454545454545453,5,0.45454545454545453,5,True,json_array,0,weather
0,0.6363636363636364,7,0.6363636363636364,7,"{""date"": ""2027-02-21"", ""destination"": ""ICN"", ""origin"": ""SFO""}",0.0,1,0,0.7272727272727273,8,0.7272727272727273,8,True,json_array,0,flight_search
0,1.0,11,1.0,11,"{""calendar"": ""research"", ""end_date"": ""2027-02-23"", ""keyword"": ""meeting"", ""start_date"": ""2027-02-20""}",0.0,2,0,0.9090909090909091,10,0.9090909090909091,10,True,json_array,0,calendar_api
0,0.29411764705882354,5,0.29411764705882354,5,"{""date"": ""2027-02-22"", ""location"": ""Seoul""}",0.2,0,0,0.29411764705882354,5,0.29411764705882354,5,True,json_array,0,weather
0,,,,,"{""date"": ""2027-02-21"", ""destination"": ""ICN"", ""origin"": ""SFO""}",0.2,1,0,,,,,False,json_array,0,flight_search
0,1.0,17,1.0,17,"{""calendar"": ""research"", ""end_date"": ""2027-02-23"", ""keyword"": ""meeting"", ""start_date"": ""2027-02-20""}",0.2,2,0,0.7058823529411765,12,0.7058823529411765,12,True,json_array,0,calendar_api
0,0.2857142857142857,4,0.2857142857142857,4,"{""date"": ""2027-02-22"", ""location"": ""Seoul""}",0.4,0,0,0.35714285714285715,5,0.35714285714285715,5,True,json_array,0,weather
0,,,,,"{""date"": ""2027-02-21"", ""destination"": ""ICN"", ""origin"": ""SFO""}",0.4,1,0,,,,,False,json_array,0,flight_search
0,1.0,14,1.0,14,"{""calendar"": ""research"", ""end_date"": ""2027-02-23"", ""keyword"": ""meeting"", ""start_date"": ""2027-02-20""}",0.4,2,0,0.9285714285714286,13,0.9285714285714286,13,True,json_array,0,calendar_api
0,0.36363636363636365,4,0.36363636363636365,4,"{""date"": ""2026-09-14"", ""location"": ""Tokyo""}",0.0,0,0,0.6363636363636364,7,0.6363636363636364,7,True,json_array,1,weather
