ar_false_starts,ar_ready_fraction,ar_ready_step,ar_stable_fraction,ar_stable_step,args,bias_strength,call_index,dllm_false_starts,dllm_ready_fraction,dllm_ready_step,dllm_stable_fraction,dllm_stable_step,final_ready,prompt_format,request_index,tool
0,0.25,4,0.25,4,"{""date"": ""2026-01-03"", ""destination"": ""FCO"", ""origin"": ""DFW""}",0.0,0,0,0.1875,3,0.1875,3,True,action_list,0,flight_search
0,0.375,6,0.375,6,"{""date"": ""2026-01-01"", ""location"": ""Seoul""}",0.0,1,0,0.5,8,0.5,8,True,action_list,0,weather
0,0.5,8,0.5,8,"{""date"": ""2026-01-03"", ""location"": ""Rome""}",0.0,2,0,0.5625,9,0.5625,9,True,action_list,0,weather
0,0.8125,13,0.8125,13,"{""calendar"": ""research"", ""end_date"": ""2026-01-03"", ""keyword"": ""meeting"", ""start_date"": ""2026-01-01""}",0.0,3,0,0.9375,15,0.9375,15,True,action_list,0,calendar_api
0,1.0,16,1.0,16,"{""date"": ""2026-01-01"", ""destination"": ""ICN"", ""origin"": ""SEA""}",0.0,4,0,0.9375,15,0.9375,15,True,action_list,0,flight_search
0,0.2,2,0.2,2,"{""date"": ""2027-06-07"", ""destination"": ""NRT"", ""origin"": ""DFW""}",0.0,0,0,0.4,4,0.4,4,True,action_list,1,flight_search
0,0.5,5,0.5,5,"{""date"": ""2027-06-10"", ""destination"": ""BER"", ""origin"": ""JFK""}",0.0,1,0,0.6,6,0.6,6,True,action_list,1,flight_search
0,0.6,6,0.6,6,"{""date"": ""2027-06-10"", ""location"": ""Berlin""}",0.0,2,0,0.7,7,0.7,7,True,action_list,1,weather
0,0.9,9,0.9,9,"{""calendar"": ""ops"", ""end_date"": ""2027-06-10"", ""keyword"": ""interview"", ""start_date"": ""2027-06-08""}",0.0,3,0,0.9,9,0.9,9,True,action_list,1,calendar_api
0,1.0,10,1.0,10,"{""date"": ""2027-06-08"", ""location"": ""Tokyo""}",0.0,4,0,1.0,10,1.0,10,True,action_list,1,weather
0,0.2,2,0.2,2,"{""date"": ""2026-11-17"", ""destination"": ""DXB"", ""origin"": ""DFW""}",0.0,0,0,0.3,3,0.3,3,True,action_list,2,flight_search
0,0.4,4,0.4,4,"{""date"": ""2026-11-17"", ""location"": ""Dubai""}",0.0,1,0,0.7,7,0.7,7,True,action_list,2,weather
0,0.6,6,0.6,6,"{""date"": ""2026-11-15"", ""location"": ""Paris""}",0.0,2,0,0.7,7,0.7,7,True,action_list,2,weather
0,0.8,8,0.8,8,"{""calendar"": ""research"", ""end_date"": ""2026-11-17"", ""keyword"": ""demo"", ""start_date"": ""2026-11-15""}",0.0,3,0,1.0,10,1.0,10,True,action_list,2,calendar_api
0,1.0,10,1.0,10,"{""date"": ""2026-11-14"", ""destination"": ""CDG"", ""origin"": ""IAD""}",0.0,4,0,1.0,10,1.0,10,True,action_list,2,flight_search
0,0.16666666666666666,2,0.16666666666666666,2,"{""date"": ""2027-04-22"", ""location"": ""Austin""}",0.0,0,0,0.4166666666666667,5,0.4166666666666667,5,True,action_list,3,weather
0,0.4166666666666667,5,0.4166666666666667,5,"{""date"": ""2027-04-24"", ""destination"": ""BOS"", ""origin"": ""JFK""}",0.0,1,0,0.75,9,0.75,9,True,action_list,3,flight_search
0,0.5,6,0.5,6,"{""date"": ""2027-04-24"", ""location"": ""Boston""}",0.0,2,0,0.75,9,0.75,9,True,action_list,3,weather
0,0.75,9,0.75,9,"{""city"": ""Austin"", ""company"": ""Telefonica"", ""role"": ""engineer""}",0.0,3,0,0.8333333333333334,10,0.8333333333333334,10,True,action_list,3,crm_api
0,1.0,12,1.0,12,"{""calendar"": ""ops"", ""end_date"": ""2027-04-24"", ""keyword"": ""workshop"", ""start_date"": ""2027-04-22""}",0.0,4,0,1.0,12,1.0,12,True,action_list,3,calendar_api
0,0.18181818181818182,2,0.18181818181818182,2,"{""date"": ""2026-09-07"", ""location"": ""Toronto""}",0.0,0,0,0.45454545454545453,5,0.45454545454545453,5,True,action_list,4,weather
0,0.36363636363636365,4,0.36363636363636365,4,"{""date"": ""2026-09-07"", ""destination"": ""YYZ"", ""origin"": ""DFW""}",0.0,1,0,0.8181818181818182,9,0.8181818181818182,9,True,action_list,4,flight_search
0,0.5454545454545454,6,0.5454545454545454,6,"{""date"": ""2026-09-05"", ""location"": ""London""}",0.0,2,0,0.8181818181818182,9,0.8181818181818182,9,True,action_list,4,weather
0,0.9090909090909091,10,0.9090909090909091,10,"{""calendar"": ""research"", ""end_date"": ""2026-09-07"", ""keyword"": ""review"", ""start_date"": ""2026-09-05""}",0.0,3,0,1.0,11,1.0,11,True,action_list,4,calendar_api
0,1.0,11,1.0,11,"{""city"": ""London"", ""company"": ""SAP"", ""role"": ""manager""}",0.0,4,0,1.0,11,1.0,11,True,action_list,4,crm_api
0,0.3,3,0.3,3,"{""date"": ""2027-02-14"", ""destination"": ""SIN"", ""origin"": ""JFK""}",0.0,0,0,0.4,4,0.4,4,True,action_list,5,flight_search
0,0.4,4,0.4,4,"{""date"": ""2027-02-14"", ""location"": ""Singapore""}",0.0,1,0,0.7,7,0.7,7,True,action_list,5,weather
0,0.6,6,0.6,6,"{""city"": ""Amsterdam"", ""company"": ""Emirates"", ""role"": ""partner""}",0.0,2,0,0.7,7,0.7,7,True,action_list,5,crm_api
0,0.8,8,0.8,8,"{""date"": ""2027-02-12"", ""location"": ""Amsterdam""}",0.0,3,0,0.8,8,0.8,8,True,action_list,5,weather
0,1.0,10,1.0,10,"{""date"": ""2027-02-11"", ""destination"": ""AMS"", ""origin"": ""ATL""}",0.0,4,0,0.9,9,0.9,9,True,action_list,5,flight_search
0,0.2,3,0.2,3,"{""date"": ""2026-07-21"", ""location"": ""Sydney""}",0.0,0,0,0.5333333333333333,8,0.5333333333333333,8,True,action_list,6,weather
0,0.4666666666666667,7,0.4666666666666667,7,"{""calendar"": ""research"", ""end_date"": ""2026-07-21"", ""keyword"": ""call"", ""start_date"": ""2026-07-19""}",0.0,1,0,0.8,12,0.8,12,True,action_list,6,calendar_api
0,0.6,9,0.6,9,"{""date"": ""2026-07-19"", ""location"": ""Madrid""}",0.0,2,0,0.8,12,0.8,12,True,action_list,6,weather
0,0.8,12,0.8,12,"{""city"": ""Madrid"", ""company"": ""NVIDIA"", ""role"": ""coordinator""}",0.0,3,0,0.8666666666666667,13,0.8666666666666667,13,True,action_list,6,crm_api
0,1.0,15,1.0,15,"{""date"": ""2026-07-18"", ""destination"": ""MAD"", ""origin"": ""JFK""}",0.0,4,0,1.0,15,1.0,15,True,action_list,6,flight_search
0,0.3333333333333333,3,0.3333333333333333,3,"{""calendar"": ""ops"", ""end_date"": ""2027-12-04"", ""keyword"": ""meeting"", ""start_date"": ""2027-12-02""}",0.0,0,0,0.3333333333333333,3,0.3333333333333333,3,True,action_list,7,calendar_api
0,0.4444444444444444,4,0.4444444444444444,4,"{""date"": ""2027-12-04"", ""destination"": ""ZRH"", ""origin"": ""JFK""}",0.0,1,0,0.6666666666666666,6,0.6666666666666666,6,True,action_list,7,flight_search
0,0.7777777777777778,7,0.7777777777777778,7,"{""date"": ""2027-12-01"", ""destination"": ""FCO"", ""origin"": ""BOS""}",0.0,2,0,0.7777777777777778,7,0.7777777777777778,7,True,action_list,7,flight_search
0,0.8888888888888888,8,0.8888888888888888,8,"{""date"": ""2027-12-02"", ""location"": ""Rome""}",0.0,3,0,0.7777777777777778,7,0.7777777777777778,7,True,action_list,7,weather
0,1.0,9,1.0,9,"{""city"": ""Rome"", ""company"": ""Stripe"", ""role"": ""director""}",0.0,4,0,1.0,9,1.0,9,True,action_list,7,crm_api
0,0.2222222222222222,2,0.2222222222222222,2,"{""date"": ""2026-05-09"", ""location"": ""Berlin""}",0.0,0,0,0.3333333333333333,3,0.3333333333333333,3,True,action_list,8,weather
0,0.4444444444444444,4,0.4444444444444444,4,"{""date"": ""2026-05-11"", ""destination"": ""ORD"", ""origin"": ""DFW""}",0.0,1,0,0.5555555555555556,5,0.5555555555555556,5,True,action_list,8,flight_search
0,0.6666666666666666,6,0.6666666666666666,6,"{""city"": ""Berlin"", ""company"": ""Toyota"", ""role"": ""analyst""}",0.0,2,0,0.6666666666666666,6,0.6666666666666666,6,True,action_list,8,crm_api
0,0.7777777777777778,7,0.7777777777777778,7,"{""date"": ""2026-05-11"", ""location"": ""Chicago""}",0.0,3,0,0.7777777777777778,7,0.7777777777777778,7,True,action_list,8,weather
0,1.0,9,1.0,9,"{""date"": ""2026-05-08"", ""destination"": ""BER"", ""origin"": ""MIA""}",0.0,4,0,0.8888888888888888,8,0.8888888888888888,8,True,action_list,8,flight_search
0,0.3,3,0.3,3,"{""calendar"": ""ops"", ""end_date"": ""2027-10-18"", ""keyword"": ""demo"", ""start_date"": ""2027-10-16""}",0.0,0,0,0.3,3,0.3,3,True,action_list,9,calendar_api
