ar_false_starts,ar_ready_fraction,ar_ready_step,ar_stable_fraction,ar_stable_step,args,call_index,dllm_false_starts,dllm_ready_fraction,dllm_ready_step,dllm_stable_fraction,dllm_stable_step,final_ready,request_index,tool
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2027-02-22"", ""location"": ""Seoul""}",0,0,0.42857142857142855,3,0.42857142857142855,3,True,0,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2027-02-21"", ""destination"": ""ICN"", ""origin"": ""SFO""}",1,0,0.7142857142857143,5,0.7142857142857143,5,True,0,flight_search
0,1.0,7,1.0,7,"{""calendar"": ""research"", ""end_date"": ""2027-02-23"", ""keyword"": ""meeting"", ""start_date"": ""2027-02-20""}",2,0,0.8571428571428571,6,0.8571428571428571,6,True,0,calendar_api
0,0.3333333333333333,2,0.3333333333333333,2,"{""date"": ""2026-09-14"", ""location"": ""Tokyo""}",0,0,0.3333333333333333,2,0.3333333333333333,2,True,1,weather
0,0.6666666666666666,4,0.6666666666666666,4,"{""date"": ""2026-09-13"", ""destination"": ""NRT"", ""origin"": ""SEA""}",1,0,0.6666666666666666,4,0.6666666666666666,4,True,1,flight_search
0,1.0,6,1.0,6,"{""city"": ""Tokyo"", ""company"": ""Sony"", ""role"": ""director""}",2,0,0.6666666666666666,4,0.6666666666666666,4,True,1,crm_api
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2027-01-08"", ""location"": ""Paris""}",0,0,0.2857142857142857,2,0.2857142857142857,2,True,2,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2027-01-07"", ""destination"": ""CDG"", ""origin"": ""BOS""}",1,0,0.7142857142857143,5,0.7142857142857143,5,True,2,flight_search
0,1.0,7,1.0,7,"{""calendar"": ""research"", ""end_date"": ""2027-01-10"", ""keyword"": ""workshop"", ""start_date"": ""2027-01-08""}",2,0,0.8571428571428571,6,0.8571428571428571,6,True,2,calendar_api
0,0.3333333333333333,2,0.3333333333333333,2,"{""date"": ""2027-05-20"", ""location"": ""Austin""}",0,0,0.3333333333333333,2,0.3333333333333333,2,True,3,weather
0,0.5,3,0.5,3,"{""city"": ""Austin"", ""company"": ""Dell"", ""role"": ""manager""}",1,0,0.6666666666666666,4,0.6666666666666666,4,True,3,crm_api
0,1.0,6,1.0,6,"{""calendar"": ""sales"", ""end_date"": ""2027-05-21"", ""keyword"": ""call"", ""start_date"": ""2027-05-19""}",2,0,0.8333333333333334,5,0.8333333333333334,5,True,3,calendar_api
0,0.375,3,0.375,3,"{""date"": ""2026-11-18"", ""location"": ""London""}",0,0,0.375,3,0.375,3,True,4,weather
0,0.75,6,0.75,6,"{""date"": ""2026-11-17"", ""destination"": ""LHR"", ""origin"": ""ORD""}",1,0,0.75,6,0.75,6,True,4,flight_search
0,1.0,8,1.0,8,"{""city"": ""London"", ""company"": ""HSBC"", ""role"": ""analyst""}",2,0,0.75,6,0.75,6,True,4,crm_api
0,0.3333333333333333,2,0.3333333333333333,2,"{""date"": ""2026-10-05"", ""location"": ""Amsterdam""}",0,0,0.3333333333333333,2,0.3333333333333333,2,True,5,weather
0,0.6666666666666666,4,0.6666666666666666,4,"{""date"": ""2026-10-04"", ""destination"": ""AMS"", ""origin"": ""DFW""}",1,0,0.6666666666666666,4,0.6666666666666666,4,True,5,flight_search
0,1.0,6,1.0,6,"{""calendar"": ""product"", ""end_date"": ""2026-10-06"", ""keyword"": ""demo"", ""start_date"": ""2026-10-05""}",2,0,0.8333333333333334,5,0.8333333333333334,5,True,5,calendar_api
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2027-03-12"", ""location"": ""Madrid""}",0,0,0.2857142857142857,2,0.2857142857142857,2,True,6,weather
0,0.7142857142857143,5,0.7142857142857143,5,"{""date"": ""2027-03-11"", ""destination"": ""MAD"", ""origin"": ""MIA""}",1,0,0.7142857142857143,5,0.7142857142857143,5,True,6,flight_search
0,1.0,7,1.0,7,"{""city"": ""Madrid"", ""company"": ""Telefonica"", ""role"": ""partner""}",2,0,0.7142857142857143,5,0.7142857142857143,5,True,6,crm_api
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2026-08-30"", ""location"": ""Rome""}",0,0,0.42857142857142855,3,0.42857142857142855,3,True,7,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2026-08-29"", ""destination"": ""FCO"", ""origin"": ""ATL""}",1,0,0.7142857142857143,5,0.7142857142857143,5,True,7,flight_search
0,1.0,7,1.0,7,"{""calendar"": ""ops"", ""end_date"": ""2026-09-01"", ""keyword"": ""maintenance"", ""start_date"": ""2026-08-30""}",2,0,0.8571428571428571,6,0.8571428571428571,6,True,7,calendar_api
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2027-04-09"", ""location"": ""Berlin""}",0,0,0.2857142857142857,2,0.2857142857142857,2,True,8,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""city"": ""Berlin"", ""company"": ""SAP"", ""role"": ""recruiter""}",1,0,0.5714285714285714,4,0.5714285714285714,4,True,8,crm_api
0,1.0,7,1.0,7,"{""calendar"": ""recruiting"", ""end_date"": ""2027-04-11"", ""keyword"": ""interview"", ""start_date"": ""2027-04-09""}",2,0,0.8571428571428571,6,0.8571428571428571,6,True,8,calendar_api
0,0.2857142857142857,2,0.2857142857142857,2,"{""date"": ""2027-06-16"", ""location"": ""Dubai""}",0,0,0.42857142857142855,3,0.42857142857142855,3,True,9,weather
