ar_all_ready_fraction,ar_all_ready_step,ar_all_stable_fraction,ar_all_stable_step,ar_call_ready_spread,ar_call_stable_spread,ar_mean_call_ready_fraction,dllm_all_ready_fraction,dllm_all_ready_lead_fraction,dllm_all_ready_step,dllm_all_stable_fraction,dllm_all_stable_step,dllm_beats_ar_all_ready,dllm_call_ready_spread,dllm_call_stable_spread,dllm_mean_call_ready_fraction,final_all_ready,final_ready_count,generation_ms,num_calls,num_history_steps,prompt,request_index
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.42857142857142855,0.42857142857142855,0.6666666666666666,True,3,1512.9704379942268,3,8,"Plan my Seoul trip: check weather in Seoul on 2027-02-22, find flights from SFO to ICN on 2027-02-21, and list research calendar events between 2027-02-20 and 2027-02-23 with keyword meeting.",0
1.0,6,1.0,6,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.33333333333333337,4,0.6666666666666666,4,True,0.3333333333333333,0.3333333333333333,0.5555555555555556,True,3,869.4117769482546,3,7,"Prepare for the Tokyo customer visit: check Tokyo weather on 2026-09-14, find flights from SEA to NRT on 2026-09-13, and fetch CRM contacts at company Sony with role director in city Tokyo.",1
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.5714285714285714,0.5714285714285714,0.6190476190476191,True,3,650.869193021208,3,8,"Before the Paris workshop, check weather in Paris on 2027-01-08, find flights from BOS to CDG on 2027-01-07, and list research calendar events from 2027-01-08 to 2027-01-10 with keyword workshop.",2
1.0,6,1.0,6,0.6666666666666667,0.6666666666666667,0.6111111111111112,0.8333333333333334,0.16666666666666663,5,0.8333333333333334,5,True,0.5,0.5,0.6111111111111112,True,3,590.3232609853148,3,7,"Set up the Austin sales call: check weather in Austin on 2027-05-20, fetch CRM contacts at company Dell with role manager in city Austin, and list sales calendar events from 2027-05-19 to 2027-05-21 with keyword call.",3
1.0,8,1.0,8,0.625,0.625,0.7083333333333334,0.75,0.25,6,0.75,6,True,0.375,0.375,0.625,True,3,695.0140980188735,3,9,"Prepare for the London investor update: check London weather on 2026-11-18, find flights from ORD to LHR on 2026-11-17, and fetch CRM contacts at company HSBC with role analyst in city London.",4
1.0,6,1.0,6,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.8333333333333334,0.16666666666666663,5,0.8333333333333334,5,True,0.5,0.5,0.6111111111111112,True,3,596.892992965877,3,7,"Organize the Amsterdam demo: check Amsterdam weather on 2026-10-05, find flights from DFW to AMS on 2026-10-04, and list product calendar events from 2026-10-05 to 2026-10-06 with keyword demo.",5
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.2857142857142857,5,0.7142857142857143,5,True,0.4285714285714286,0.4285714285714286,0.5714285714285714,True,3,641.8446719762869,3,8,"Prepare for the Madrid partner meeting: check Madrid weather on 2027-03-12, find flights from MIA to MAD on 2027-03-11, and fetch CRM contacts at company Telefonica with role partner in city Madrid.",6
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.42857142857142855,0.42857142857142855,0.6666666666666666,True,3,653.0565550201572,3,8,"Plan the Rome maintenance trip: check Rome weather on 2026-08-30, find flights from ATL to FCO on 2026-08-29, and list ops calendar events from 2026-08-30 to 2026-09-01 with keyword maintenance.",7
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.5714285714285714,0.5714285714285714,0.5714285714285714,True,3,641.3802540046163,3,8,"Prepare for the Berlin hiring visit: check Berlin weather on 2027-04-09, fetch CRM contacts at company SAP with role recruiter in city Berlin, and list recruiting calendar events from 2027-04-09 to 2027-04-11 with keyword interview.",8
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.4285714285714286,4,0.5714285714285714,4,True,0.14285714285714285,0.14285714285714285,0.5238095238095237,True,3,632.9692029976286,3,8,"Plan the Dubai conference stop: check Dubai weather on 2027-06-16, find flights from IAD to DXB on 2027-06-15, and fetch CRM contacts at company Emirates with role coordinator in city Dubai.",9
