native_generation_ms,native_latency_tool100ms,native_latency_tool300ms,native_latency_tool500ms,native_latency_tool50ms,native_ready_fraction,native_ready_ms,native_saving_tool100ms,native_saving_tool300ms,native_saving_tool500ms,native_saving_tool50ms,no_spec_latency_tool100ms,no_spec_latency_tool300ms,no_spec_latency_tool500ms,no_spec_latency_tool50ms,probe_detected_tool,probe_latency_ms,probe_latency_tool100ms,probe_latency_tool300ms,probe_latency_tool500ms,probe_latency_tool50ms,probe_output_tokens,probe_prompt_tokens,probe_ready,probe_saving_tool100ms,probe_saving_tool300ms,probe_saving_tool500ms,probe_saving_tool50ms,request_index,target_args,target_tool
1696.0875989752822,1696.0875989752822,1696.0875989752822,1804.6827684425248,1696.0875989752822,0.7692307692307693,1304.6827684425248,0.05567657170900393,0.15029400520999628,0.17822824131213666,0.02863544763123182,1796.0875989752822,1996.0875989752822,2196.087598975282,1746.0875989752822,find_user_id_by_name_zip,1202.3534079780802,1696.0875989752822,1696.0875989752822,1702.3534079780802,1696.0875989752822,31,463,True,0.05567657170900393,0.15029400520999628,0.22482445200618753,0.02863544763123182,0,"{""first_name"": ""Sofia"", ""last_name"": ""Li"", ""zip"": ""78260""}",find_user_id_by_name_zip
3456.429233017843,3456.429233017843,3456.429233017843,3456.429233017843,3456.429233017843,0.8,2765.1433864142746,0.028118090772508923,0.07986307777692,0.12637658114223752,0.014259520634034585,3556.429233017843,3756.429233017843,3956.429233017843,3506.429233017843,exchange_delivered_order_items,2021.0328479879536,3456.429233017843,3456.429233017843,3456.429233017843,3456.429233017843,66,2594,True,0.028118090772508923,0.07986307777692,0.12637658114223752,0.014259520634034585,1,"{""item_ids"": ""5996159312"", ""new_item_ids"": ""9228757377"", ""order_id"": ""#W4689314"", ""payment_method_id"": ""paypal_8194385""}",exchange_delivered_order_items
599.758613971062,599.758613971062,699.839075980708,899.839075980708,599.758613971062,0.6666666666666666,399.839075980708,0.14290642230541434,0.22219241348300534,0.18178492575609367,0.07695165392948038,699.758613971062,899.758613971062,1099.758613971062,649.758613971062,find_user_id_by_name_zip,798.2375000137836,898.2375000137836,1098.2375000137836,1298.2375000137836,848.2375000137836,31,326,True,0.0,0.0,0.0,0.0,2,"{""first_name"": ""Aarav"", ""last_name"": ""Anderson"", ""zip"": ""19031""}",find_user_id_by_name_zip
,,,,,,,,,,,,,,,,1891.8857790413313,,,,,67,1624,False,,,,,3,"{""item_ids"": ""9190635437"", ""new_item_ids"": ""5320792178"", ""order_id"": ""#W9300146"", ""payment_method_id"": ""gift_card_7245904""}",modify_pending_order_items
603.5893129883334,603.5893129883334,702.3928753255556,902.3928753255556,603.5893129883334,0.6666666666666666,402.39287532555556,0.14212836686684888,0.2226635870641108,0.18231096957433549,0.07650063886661577,703.5893129883334,903.5893129883334,1103.5893129883334,653.5893129883334,find_user_id_by_name_zip,802.5014830054715,902.5014830054715,1102.5014830054715,1302.5014830054715,852.5014830054715,31,346,True,0.0,0.0,0.0,0.0,4,"{""first_name"": ""James"", ""last_name"": ""Sanchez"", ""zip"": ""60623""}",find_user_id_by_name_zip
,,,,,,,,,,,,,,,modify_pending_order_items,1448.137434956152,,,,,45,2368,False,,,,,5,"{""item_ids"": ""1810466394"", ""new_item_ids"": ""6700049080"", ""order_id"": ""#W7464385"", ""payment_method_id"": ""paypal_1261484""}",modify_pending_order_items
645.1855599880219,645.1855599880219,751.6298919916153,951.6298919916153,645.1855599880219,0.7,451.62989199161524,0.1341947635185086,0.20478060202153262,0.16901686046271058,0.07192324305594251,745.1855599880219,945.1855599880219,1145.1855599880219,695.1855599880219,find_user_id_by_name_zip,800.987504015211,900.987504015211,1100.987504015211,1300.987504015211,850.987504015211,31,350,True,0.0,0.0,0.0,0.0,6,"{""first_name"": ""Ava"", ""last_name"": ""Nguyen"", ""zip"": ""94128""}",find_user_id_by_name_zip
,,,,,,,,,,,,,,,,810.5653240345418,,,,,21,2259,False,,,,,7,"{""item_ids"": ""2444431651 1689914594"", ""new_item_ids"": ""2444431651 1689914594"", ""order_id"": ""#W8367380"", ""payment_method_id"": ""credit_card_5683823""}",modify_pending_order_items
,,,,,,,,,,,,,,,,1880.7969150366262,,,,,65,1881,False,,,,,8,"{""item_ids"": ""6704763132"", ""order_id"": ""#W8528674"", ""payment_method_id"": ""paypal_7664977""}",return_delivered_order_items
,,,,,,,,,,,,,,,modify_pending_order_items,2095.0799149577506,,,,,65,3187,True,,,,,9,"{""item_ids"": ""1684786391"", ""new_item_ids"": ""5052031638"", ""order_id"": ""#W9672333"", ""payment_method_id"": ""paypal_7664977""}",modify_pending_order_items
