action_ready,action_ready_fraction,action_ready_step,bind_fraction,bind_update_index,bound_token_count,elapsed_ms,estimated_action_ready_ms,policy,request_index,reserved_prefix_token_count,reserved_suffix_token_count,result_present,result_terms_present,result_token_count,success,target_tool
True,0.14814814814814814,4,,,10,2826.194941997528,418.6955469625967,no_bind,0,,,False,False,10,False,weather
True,,,,,0,1750.4041549982503,,restart_with_result,0,,,True,True,10,True,weather
True,0.14814814814814814,4,0.25,32,10,2142.778364010155,418.6955469625967,bind,0,,,False,False,10,False,weather
True,0.14814814814814814,4,0.25,32,10,4280.277243000455,418.6955469625967,reserved_slot,0,27,6,True,True,10,True,weather
True,0.14814814814814814,4,0.35,44,10,2134.726199961733,418.6955469625967,bind,0,,,False,False,10,False,weather
True,0.14814814814814814,4,0.35,44,10,5215.753838012461,418.6955469625967,reserved_slot,0,27,6,True,True,10,True,weather
True,0.14814814814814814,4,0.5,64,10,2150.1463739550672,418.6955469625967,bind,0,,,False,False,10,False,weather
True,0.14814814814814814,4,0.5,64,10,6839.576116006356,418.6955469625967,reserved_slot,0,27,6,True,True,10,True,weather
True,0.14814814814814814,4,0.75,96,10,2157.6599800027907,418.6955469625967,bind,0,,,False,False,10,False,weather
True,0.14814814814814814,4,0.75,96,10,9426.284581015352,418.6955469625967,reserved_slot,0,27,6,True,True,10,True,weather
True,0.13513513513513514,5,,,10,2976.6400280059315,402.248652433234,no_bind,1,,,False,False,10,False,weather
True,,,,,0,1783.9752860018052,,restart_with_result,1,,,True,True,10,True,weather
True,0.13513513513513514,5,0.25,32,10,2983.8179600192234,402.248652433234,bind,1,,,True,True,10,True,weather
True,0.13513513513513514,5,0.25,32,10,4125.260942964815,402.248652433234,reserved_slot,1,27,6,True,True,10,True,weather
True,0.13513513513513514,5,0.35,44,10,2999.1174829774536,402.248652433234,bind,1,,,False,False,10,False,weather
True,0.13513513513513514,5,0.35,44,10,5115.156429994386,402.248652433234,reserved_slot,1,27,6,True,True,10,True,weather
True,0.13513513513513514,5,0.5,64,10,3009.7474749782123,402.248652433234,bind,1,,,False,False,10,False,weather
True,0.13513513513513514,5,0.5,64,10,6754.996803996619,402.248652433234,reserved_slot,1,27,6,True,True,10,True,weather
True,0.13513513513513514,5,0.75,96,10,3015.570026007481,402.248652433234,bind,1,,,False,False,10,False,weather
True,0.13513513513513514,5,0.75,96,10,9389.234159956686,402.248652433234,reserved_slot,1,27,6,True,True,10,True,weather
True,0.14285714285714285,5,,,10,2870.3578080167063,410.051115430958,no_bind,2,,,False,False,10,False,weather
True,,,,,0,1899.4452339829877,,restart_with_result,2,,,True,True,10,True,weather
True,0.14285714285714285,5,0.25,32,10,2954.7981949872337,410.051115430958,bind,2,,,True,True,10,True,weather
True,0.14285714285714285,5,0.25,32,10,4109.816725016572,410.051115430958,reserved_slot,2,27,6,True,True,10,True,weather
True,0.14285714285714285,5,0.35,44,10,2878.2896919874474,410.051115430958,bind,2,,,False,False,10,False,weather
True,0.14285714285714285,5,0.35,44,10,5098.214575031307,410.051115430958,reserved_slot,2,27,6,True,True,10,True,weather
True,0.14285714285714285,5,0.5,64,10,2880.5175489978865,410.051115430958,bind,2,,,False,False,10,False,weather
True,0.14285714285714285,5,0.5,64,10,6743.935292004608,410.051115430958,reserved_slot,2,27,6,True,True,10,True,weather
True,0.14285714285714285,5,0.75,96,10,2882.635215006303,410.051115430958,bind,2,,,False,False,10,False,weather
True,0.14285714285714285,5,0.75,96,10,9382.187764975242,410.051115430958,reserved_slot,2,27,6,True,True,10,True,weather
True,0.1891891891891892,7,,,10,3051.332118047867,577.2790493604073,no_bind,3,,,False,False,10,False,weather
True,,,,,0,1661.8485090439208,,restart_with_result,3,,,True,True,10,True,weather
True,0.1891891891891892,7,0.25,32,10,3054.5136139844544,577.2790493604073,bind,3,,,True,True,10,True,weather
True,0.1891891891891892,7,0.25,32,10,4542.911937984172,577.2790493604073,reserved_slot,3,27,6,True,True,10,True,weather
True,0.1891891891891892,7,0.35,44,10,3055.1645310479216,577.2790493604073,bind,3,,,False,False,10,False,weather
True,0.1891891891891892,7,0.35,44,10,5540.281324996613,577.2790493604073,reserved_slot,3,27,6,True,True,10,True,weather
True,0.1891891891891892,7,0.5,64,10,3061.019603977911,577.2790493604073,bind,3,,,False,False,10,False,weather
True,0.1891891891891892,7,0.5,64,10,7194.257123977877,577.2790493604073,reserved_slot,3,27,6,True,True,10,True,weather
True,0.1891891891891892,7,0.75,96,10,3061.279964982532,577.2790493604073,bind,3,,,False,False,10,False,weather
True,0.1891891891891892,7,0.75,96,10,9835.933515976649,577.2790493604073,reserved_slot,3,27,6,True,True,10,True,weather
True,0.16,4,,,9,2076.3759970432147,332.22015952691436,no_bind,4,,,False,False,9,False,weather
True,,,,,0,1834.2386220465414,,restart_with_result,4,,,True,True,9,True,weather
True,0.16,4,0.25,32,9,2077.702248003334,332.22015952691436,bind,4,,,False,False,9,False,weather
True,0.16,4,0.25,32,9,4313.907955947798,332.22015952691436,reserved_slot,4,28,6,True,True,9,True,weather
True,0.16,4,0.35,44,9,2077.359610993881,332.22015952691436,bind,4,,,False,False,9,False,weather
True,0.16,4,0.35,44,9,5304.894826025702,332.22015952691436,reserved_slot,4,28,6,True,True,9,True,weather
True,0.16,4,0.5,64,9,2078.0514869838953,332.22015952691436,bind,4,,,False,False,9,False,weather
True,0.16,4,0.5,64,9,6959.268998005427,332.22015952691436,reserved_slot,4,28,6,True,True,9,True,weather
True,0.16,4,0.75,96,9,2079.9447080353275,332.22015952691436,bind,4,,,False,False,9,False,weather
True,0.16,4,0.75,96,9,9605.48581398325,332.22015952691436,reserved_slot,4,28,6,True,True,9,True,weather
True,0.08823529411764706,3,,,13,2833.4744500461966,250.01245147466443,no_bind,5,,,False,False,13,False,crm_api
True,,,,,0,1853.4879389917478,,restart_with_result,5,,,True,True,13,True,crm_api
True,0.08823529411764706,3,0.25,32,13,2835.0016610347666,250.01245147466443,bind,5,,,True,True,13,True,crm_api
True,0.08823529411764706,3,0.25,32,13,3840.03473399207,250.01245147466443,reserved_slot,5,27,6,True,True,13,True,crm_api
True,0.08823529411764706,3,0.35,44,13,2833.8732520351186,250.01245147466443,bind,5,,,False,False,13,False,crm_api
True,0.08823529411764706,3,0.35,44,13,4837.9791809711605,250.01245147466443,reserved_slot,5,27,6,True,True,13,True,crm_api
True,0.08823529411764706,3,0.5,64,13,2833.6574099957943,250.01245147466443,bind,5,,,False,False,13,False,crm_api
True,0.08823529411764706,3,0.5,64,13,6499.556235969067,250.01245147466443,reserved_slot,5,27,6,True,True,13,True,crm_api
True,0.08823529411764706,3,0.75,96,13,2833.8585469755344,250.01245147466443,bind,5,,,False,False,13,False,crm_api
True,0.08823529411764706,3,0.75,96,13,9158.722255961038,250.01245147466443,reserved_slot,5,27,6,True,True,13,True,crm_api
True,0.11538461538461539,3,,,13,2168.818518985063,250.24829065212265,no_bind,6,,,False,False,13,False,crm_api
True,,,,,0,1767.1204340294935,,restart_with_result,6,,,True,True,13,True,crm_api
True,0.11538461538461539,3,0.25,32,13,2167.913439043332,250.24829065212265,bind,6,,,False,False,13,False,crm_api
True,0.11538461538461539,3,0.25,32,13,4412.2683449531905,250.24829065212265,reserved_slot,6,26,6,True,True,13,True,crm_api
True,0.11538461538461539,3,0.35,44,13,2167.908940988127,250.24829065212265,bind,6,,,False,False,13,False,crm_api
True,0.11538461538461539,3,0.35,44,13,5407.339511031751,250.24829065212265,reserved_slot,6,26,6,True,True,13,True,crm_api
True,0.11538461538461539,3,0.5,64,13,2167.5243049976416,250.24829065212265,bind,6,,,False,False,13,False,crm_api
True,0.11538461538461539,3,0.5,64,13,7066.560066014063,250.24829065212265,reserved_slot,6,26,6,True,True,13,True,crm_api
True,0.11538461538461539,3,0.75,96,13,2167.5000690156594,250.24829065212265,bind,6,,,False,False,13,False,crm_api
True,0.11538461538461539,3,0.75,96,13,9717.887548031285,250.24829065212265,reserved_slot,6,26,6,True,True,13,True,crm_api
True,0.09375,3,,,12,2667.905000038445,250.11609375360422,no_bind,7,,,False,False,12,False,crm_api
True,,,,,0,1683.1324209924787,,restart_with_result,7,,,True,True,12,True,crm_api
True,0.09375,3,0.25,32,12,2668.3493540040217,250.11609375360422,bind,7,,,False,False,12,False,crm_api
True,0.09375,3,0.25,32,12,4171.520829026122,250.11609375360422,reserved_slot,7,28,6,True,True,12,True,crm_api
True,0.09375,3,0.35,44,12,2666.833439958282,250.11609375360422,bind,7,,,False,False,12,False,crm_api
True,0.09375,3,0.35,44,12,5165.355090983212,250.11609375360422,reserved_slot,7,28,6,True,True,12,True,crm_api
True,0.09375,3,0.5,64,12,2667.3337209504098,250.11609375360422,bind,7,,,False,False,12,False,crm_api
True,0.09375,3,0.5,64,12,6824.820483976509,250.11609375360422,reserved_slot,7,28,6,True,True,12,True,crm_api
True,0.09375,3,0.75,96,12,2665.967588953208,250.11609375360422,bind,7,,,False,False,12,False,crm_api
True,0.09375,3,0.75,96,12,9477.07469802117,250.11609375360422,reserved_slot,7,28,6,True,True,12,True,crm_api
True,0.3,6,,,23,1705.2958799758926,511.5887639927678,no_bind,8,,,False,False,23,False,calendar_api
True,,,,,0,2240.6040159985423,,restart_with_result,8,,,True,True,23,True,calendar_api
