request_index,cache_mode,phase,block_index,layer_index,step_index,model_call_index,block_start,block_end,block_token_count,mask_count,layer_latency_ms,block_input_norm,block_output_norm,block_delta_norm,block_delta_cosine,inter_step_output_delta_norm,inter_step_output_cosine
0,prefix,warmup,0,0,0,0,22,54,32,32,16314.865386113524,38.89509582519531,152.12078857421875,152.67547607421875,0.11356291174888611,,
0,prefix,warmup,0,1,0,0,22,54,32,32,85.71949228644371,152.12078857421875,198.2422637939453,62.992103576660156,0.9694846868515015,,
0,prefix,warmup,0,2,0,0,22,54,32,32,58.48169419914484,198.2422637939453,210.9404754638672,25.676738739013672,0.9940477609634399,,
0,prefix,warmup,0,3,0,0,22,54,32,32,45.259397476911545,210.9404754638672,244.55813598632812,48.60558319091797,0.9880589842796326,,
0,prefix,warmup,0,4,0,0,22,54,32,32,52.325705997645855,244.55813598632812,286.4713134765625,57.37781524658203,0.9890443086624146,,
0,prefix,warmup,0,5,0,0,22,54,32,32,46.763128601014614,286.4713134765625,314.1974792480469,49.993316650390625,0.9903887510299683,,
0,prefix,warmup,0,6,0,0,22,54,32,32,11.107079684734344,314.1974792480469,333.4482421875,43.19868087768555,0.9928658604621887,,
0,prefix,warmup,0,7,0,0,22,54,32,32,23.814432322978973,333.4482421875,333.07073974609375,43.71528244018555,0.9914005398750305,,
0,prefix,warmup,0,8,0,0,22,54,32,32,58.863284066319466,333.07073974609375,349.0240173339844,62.119598388671875,0.9844998121261597,,
0,prefix,warmup,0,9,0,0,22,54,32,32,49.76636078208685,349.0240173339844,368.9851989746094,69.32272338867188,0.9828895330429077,,
0,prefix,warmup,0,10,0,0,22,54,32,32,52.40482557564974,368.9851989746094,395.6954040527344,78.86537170410156,0.9811422824859619,,
0,prefix,warmup,0,11,0,0,22,54,32,32,34.20903626829386,395.6954040527344,422.5775146484375,95.48065948486328,0.9748979210853577,,
0,prefix,warmup,0,12,0,0,22,54,32,32,32.64669515192509,422.5775146484375,436.3984680175781,97.78544616699219,0.9745888710021973,,
0,prefix,warmup,0,13,0,0,22,54,32,32,56.70495796948671,436.3984680175781,464.24432373046875,123.9654769897461,0.9639827013015747,,
0,prefix,warmup,0,14,0,0,22,54,32,32,86.98813803493977,464.24432373046875,465.92291259765625,116.31498718261719,0.9687275886535645,,
0,prefix,warmup,0,15,0,0,22,54,32,32,100.04039201885462,465.92291259765625,460.6939697265625,119.43013000488281,0.9668320417404175,,
0,prefix,warmup,0,16,0,0,22,54,32,32,51.24565586447716,460.6939697265625,512.189697265625,156.7098846435547,0.953574538230896,,
0,prefix,warmup,0,17,0,0,22,54,32,32,53.1186331063509,512.189697265625,524.796630859375,156.36354064941406,0.9548094868659973,,
0,prefix,warmup,0,18,0,0,22,54,32,32,44.63970847427845,524.796630859375,546.97021484375,166.65333557128906,0.9524719715118408,,
0,prefix,warmup,0,19,0,0,22,54,32,32,40.11536203324795,546.97021484375,566.8186645507812,167.36581420898438,0.9554543495178223,,
0,prefix,warmup,0,20,0,0,22,54,32,32,93.65914855152369,566.8186645507812,595.1334838867188,185.97518920898438,0.9499180316925049,,
0,prefix,warmup,0,21,0,0,22,54,32,32,44.87152583897114,595.1334838867188,626.3009033203125,213.6019744873047,0.9400928020477295,,
0,prefix,warmup,0,22,0,0,22,54,32,32,65.5394047498703,626.3009033203125,638.333984375,216.42202758789062,0.9415957927703857,,
0,prefix,warmup,0,23,0,0,22,54,32,32,28.50905992090702,638.333984375,651.9309692382812,235.99642944335938,0.93329918384552,,
0,prefix,warmup,0,24,0,0,22,54,32,32,46.245040372014046,651.9309692382812,651.3819580078125,261.07171630859375,0.9197415709495544,,
0,prefix,warmup,0,25,0,0,22,54,32,32,29.199764132499695,651.3819580078125,755.091064453125,333.7811584472656,0.8976722955703735,,
0,prefix,warmup,0,26,0,0,22,54,32,32,50.9587824344635,755.091064453125,891.52294921875,359.53253173828125,0.9178075194358826,,
0,prefix,warmup,0,27,0,0,22,54,32,32,40.42921494692564,891.52294921875,1177.86083984375,536.7219848632812,0.9018687605857849,,
0,prefix,warmup,0,28,0,0,22,54,32,32,24.198968894779682,1177.86083984375,1789.4102783203125,843.750732421875,0.9198306798934937,,
0,prefix,warmup,0,29,0,0,22,54,32,32,16.480950638651848,1789.4102783203125,2160.25830078125,855.993896484375,0.923008143901825,,
0,prefix,warmup,0,30,0,0,22,54,32,32,24.993648752570152,2160.25830078125,2915.202392578125,1349.3197021484375,0.9006937742233276,,
0,prefix,warmup,0,31,0,0,22,54,32,32,12.024441733956337,2915.202392578125,4001.73779296875,2730.6904296875,0.7310072779655457,,
0,prefix,refine,0,0,1,1,0,32,32,30,1002.9901340603828,40.22638702392578,150.15640258789062,150.29757690429688,0.1304328590631485,24.532432556152344,0.9869173765182495
0,prefix,refine,0,1,1,1,0,32,32,30,59.840439818799496,150.15640258789062,191.8369598388672,59.72285461425781,0.96824711561203,32.09209060668945,0.9870012998580933
0,prefix,refine,0,2,1,1,0,32,32,30,36.33758705109358,191.8369598388672,204.2439422607422,28.11441421508789,0.9918793439865112,35.782684326171875,0.985663115978241
0,prefix,refine,0,3,1,1,0,32,32,30,20.46854142099619,204.2439422607422,237.76205444335938,50.217960357666016,0.9856053590774536,44.275753021240234,0.9835444688796997
0,prefix,refine,0,4,1,1,0,32,32,30,81.79176226258278,237.76205444335938,277.9390563964844,58.74660110473633,0.9861035943031311,57.76673126220703,0.9795032739639282
0,prefix,refine,0,5,1,1,0,32,32,30,40.706148371100426,277.9390563964844,306.45745849609375,52.7646598815918,0.9884327054023743,64.00955200195312,0.9790377020835876
0,prefix,refine,0,6,1,1,0,32,32,30,51.96384247392416,306.45745849609375,329.226806640625,49.26085662841797,0.9905481338500977,71.56719970703125,0.9767591953277588
0,prefix,refine,0,7,1,1,0,32,32,30,49.02506060898304,329.226806640625,329.07476806640625,45.870025634765625,0.9902948141098022,75.87467193603516,0.9738146066665649
0,prefix,refine,0,8,1,1,0,32,32,30,37.2485276311636,329.07476806640625,345.77734375,62.9919548034668,0.9837923049926758,86.96971893310547,0.9687091112136841
0,prefix,refine,0,9,1,1,0,32,32,30,28.712703846395016,345.77734375,368.35919189453125,71.84870147705078,0.9817370176315308,100.16202545166016,0.9630947113037109
0,prefix,refine,0,10,1,1,0,32,32,30,38.599688559770584,368.35919189453125,397.2127685546875,83.54696655273438,0.9789901375770569,115.21424865722656,0.9577774405479431
0,prefix,refine,0,11,1,1,0,32,32,30,42.88588464260101,397.2127685546875,422.63519287109375,94.99150848388672,0.97504723072052,128.79022216796875,0.9535601735115051
0,prefix,refine,0,12,1,1,0,32,32,30,44.078437611460686,422.63519287109375,440.6517028808594,101.37892150878906,0.9732760787010193,145.74256896972656,0.9448163509368896
0,prefix,refine,0,13,1,1,0,32,32,30,44.85458415001631,440.6517028808594,467.0439147949219,125.27094268798828,0.963562548160553,162.89263916015625,0.9388247728347778
