policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
arrival_dense,0,0.0,0.0,3291.245305998018,3291.245305998018,32
arrival_dense,1,34736.47349034643,34736.47349034643,38027.718796344445,3291.245305998018,32
arrival_dense,2,60823.09102439992,60823.09102439992,64114.336330397935,3291.245305998018,32
arrival_dense,3,79707.7156812573,79707.7156812573,83135.42740928625,3427.711728028953,32
arrival_dense,4,81526.6654864098,81539.36524285619,84967.07697088514,3440.4114844753494,32
arrival_dense,5,88175.00606283615,88175.00606283615,93961.03549885051,5786.02943601436,32
arrival_dense,6,90579.77642216215,90607.66563683469,106410.3386826046,15830.562260442457,256
arrival_dense,7,95705.38591705072,95771.32756376127,108995.42424043652,13290.038323385801,32
arrival_dense,8,96309.63345966798,96330.2225407639,109151.90092341986,12842.26746375188,32
arrival_dense,9,101073.44257280664,101192.60884068685,109981.86713101936,8908.424558212719,32
arrival_dense,10,143278.53841191067,143278.53841191067,146588.5144032855,3309.975991374813,32
arrival_dense,11,146360.14928751826,146369.4470471088,149679.42303848363,3319.273750965367,32
arrival_dense,12,161688.18714353463,161688.18714353463,164979.43244953264,3291.245305998018,32
arrival_dense,13,167758.03551706072,167758.03551706072,171049.28082305874,3291.245305998018,32
arrival_dense,14,173257.2953825069,173257.2953825069,176548.54068850493,3291.245305998018,32
arrival_dense,15,204796.9911724894,204796.9911724894,208088.2364784874,3291.245305998018,32
arrival_dense,16,258663.42796072765,258663.42796072765,261954.67326672567,3291.245305998018,32
arrival_dense,17,266777.51854578406,266777.51854578406,270068.7638517821,3291.245305998018,32
arrival_dense,18,279450.4889641416,279450.4889641416,294713.62778991973,15263.138825778151,256
arrival_dense,19,281132.2713347837,281188.3693464559,297396.3236795324,16264.052344748692,32
arrival_dense,20,284652.09996031364,284653.51820387226,299641.0858400217,14988.985879708081,256
arrival_dense,21,319296.4642252935,319296.4642252935,322587.7095312915,3291.245305998018,32
arrival_dense,22,327951.97203770984,327951.97203770984,331243.21734370786,3291.245305998018,32
arrival_dense,23,335765.09593363584,335765.09593363584,339056.34123963385,3291.245305998018,32
arrival_dense,24,349547.3880691405,349547.3880691405,363612.57266057166,14065.18459143117,256
arrival_dense,25,350136.03081515414,350199.09321250836,363894.2306899417,13758.199874787533,32
arrival_dense,26,358911.00101145345,358917.8548537495,366145.2842785171,7234.283267063671,32
arrival_dense,27,365899.6435893103,365926.21692234045,369236.19291371526,3336.549324404972,32
arrival_dense,28,385053.8336801934,385053.8336801934,396963.60264395573,11909.768963762326,256
arrival_dense,29,386766.8513981961,386791.71406250773,397650.4712295553,10883.619831359247,32
arrival_dense,30,419152.25634998974,419152.25634998974,437219.55359110475,18067.29724111501,256
arrival_dense,31,419987.2840914844,420021.1965411469,439231.57550831424,19244.29141682986,32
arrival_dense,32,422043.0830959467,422144.9974537569,441355.37642092427,19312.293324977567,32
arrival_dense,33,431082.6320782008,431199.09608119965,447998.639147668,16916.00706946716,256
arrival_dense,34,442328.47529520537,442369.1399772743,460573.7761302273,18245.300835021946,32
arrival_dense,35,445009.935396144,445051.83586688695,463256.47201984,18246.53662369598,32
arrival_dense,36,446286.98071637086,446393.1838116933,463835.7654806114,17548.784764240554,256
arrival_dense,37,468385.8834854212,468385.8834854212,473007.6803274279,4621.796842006734,32
arrival_dense,38,471212.36907456507,471219.2164010195,480176.4369044745,8964.067829909443,256
arrival_dense,39,480239.1854835989,480239.1854835989,483530.4307895969,3291.245305998018,32
arrival_dense,40,489898.7629334494,489898.7629334494,493190.00823944743,3291.245305998018,32
