policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,first_wait_ms,service_ms,inter_iteration_delay_ms,dispatches,canvas,deadline_ms,service_class,slo_miss
arrival_dense,0,0.0,0.0,740.9900509519503,740.9900509519503,0.0,740.9900509519503,0.0,16,128,50000.0,interactive_medium,False
arrival_dense,1,925.2833673237534,925.2833673237534,1393.7684902777605,468.4851229540071,0.0,468.48512295400724,-1.1368683772161603e-13,16,32,20925.283367323755,interactive_short,False
arrival_dense,2,1673.3377834459232,1673.3377834459232,4852.2236704736415,3178.885887027718,0.0,3178.885887027718,0.0,16,32,21673.337783445924,interactive_short,False
arrival_dense,3,1803.4024122012502,1818.7744884487172,7043.966557437408,5240.564145236158,15.372076247467021,5225.19206898869,9.094947017729282e-13,16,32,21803.40241220125,interactive_short,False
arrival_dense,4,1819.71578961132,1910.7240884474875,7535.089508440898,5715.373718829578,91.00829883616757,5624.36541999341,9.094947017729282e-13,16,256,101819.71578961132,interactive_long,False
arrival_dense,5,2009.2148113906542,2076.1104964328397,8084.34672343693,6075.131912046276,66.8956850421855,6008.23622700409,0.0,16,128,52009.21481139065,interactive_medium,False
arrival_dense,6,2165.025227937358,2283.1145774541355,8681.07995444708,6516.054726509721,118.08934951677747,6397.965376992943,9.094947017729282e-13,16,256,102165.02522793735,interactive_long,False
arrival_dense,7,2283.5088348716827,2551.0889374561075,9321.987406452274,7038.478571580591,267.5801025844248,6770.898468996165,9.094947017729282e-13,16,32,22283.50883487168,interactive_short,False
arrival_dense,8,3715.069487498412,3761.8634704992573,12004.62314042644,8289.553652928029,46.7939830008454,8242.759669927182,1.8189894035458565e-12,16,64,53715.06948749841,interactive_medium,False
arrival_dense,9,4760.29091075436,4852.2236704736415,14113.293038433505,9353.002127679145,91.93275971928142,9261.069367959863,0.0,16,32,24760.29091075436,interactive_short,False
arrival_dense,10,4949.2240628752925,5215.558720475848,14900.984716412233,9951.760653536941,266.33465760055515,9685.425995936384,1.8189894035458565e-12,16,32,24949.22406287529,interactive_short,False
arrival_dense,11,5481.965645171785,5617.287076470994,15688.613655409164,10206.648010237379,135.3214312992095,10071.32657893817,0.0,16,128,55481.96564517178,interactive_medium,False
arrival_dense,12,5733.75156084558,6062.576388459739,16476.765130427986,10743.013569582406,328.8248276141594,10414.188741968246,0.0,16,32,25733.75156084558,interactive_short,False
arrival_dense,13,6963.649392422645,7043.966557437408,18052.62800947795,11088.978617055305,80.3171650147624,11008.661452040542,0.0,16,32,26963.649392422645,interactive_short,False
arrival_dense,14,7270.680491259453,7535.089508440898,18839.70960647249,11569.029115213038,264.40901718144414,11304.620098031592,1.8189894035458565e-12,16,128,57270.68049125945,interactive_medium,False
arrival_dense,15,7424.541368399712,7535.089508440898,18839.70960647249,11415.168238072778,110.54814004118543,11304.620098031592,0.0,16,128,57424.54136839971,interactive_medium,False
arrival_dense,16,7566.139116298556,8084.34672343693,19628.682428461354,12062.543312162798,518.2076071383744,11544.335705024423,0.0,16,32,27566.139116298556,interactive_short,False
arrival_dense,17,7978.186512353906,8084.34672343693,19628.682428461354,11650.495916107448,106.16021108302357,11544.335705024423,0.0,16,128,57978.1865123539,interactive_medium,False
arrival_dense,18,8130.594936963502,8681.07995444708,20417.858292450284,12287.263355486783,550.4850174835774,11736.778338003205,0.0,16,256,108130.5949369635,interactive_long,False
arrival_dense,19,8569.834758022662,8681.07995444708,20417.858292450284,11848.023534427623,111.24519642441737,11736.778338003205,0.0,16,32,28569.834758022662,interactive_short,False
arrival_dense,20,9710.358526167056,9917.953611453151,21996.877249431884,12286.518723264828,207.59508528609513,12078.923637978733,0.0,16,256,109710.35852616705,interactive_long,False
arrival_dense,21,9965.272008413487,10560.441281457053,22787.890607418114,12822.618599004627,595.1692730435661,12227.44932596106,0.0,16,128,59965.272008413485,interactive_medium,False
arrival_dense,22,10089.067466738696,10560.441281457053,22787.890607418114,12698.823140679418,471.3738147183576,12227.44932596106,0.0,16,64,60089.06746673869,interactive_medium,False
arrival_dense,23,13092.378183037934,13391.402356428182,25944.56761544253,12852.189432404597,299.0241733902476,12553.16525901435,0.0,16,32,33092.37818303793,interactive_short,False
arrival_dense,24,13448.569986676892,14113.293038433505,26733.812860431237,13285.242873754345,664.7230517566131,12620.519821997732,0.0,16,256,113448.56998667688,interactive_long,False
arrival_dense,25,13496.225253274672,14113.293038433505,26733.812860431237,13237.587607156565,617.0677851588334,12620.519821997732,0.0,16,64,63496.22525327467,interactive_medium,False
