policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,first_wait_ms,service_ms,inter_iteration_delay_ms,dispatches,canvas,deadline_ms,service_class,slo_miss
arrival_dense,0,0.0,0.0,741.1309729795903,741.1309729795903,0.0,741.1309729795903,0.0,16,128,50000.0,interactive_medium,False
arrival_dense,1,3701.1334692950136,3701.1334692950136,4168.402218231489,467.26874893647573,0.0,467.2687489364762,-4.547473508864641e-13,16,32,23701.133469295015,interactive_short,False
arrival_dense,2,6693.351133783693,6693.351133783693,7157.3482627562435,463.99712897255085,0.0,463.99712897255085,0.0,16,32,26693.351133783694,interactive_short,False
arrival_dense,3,7213.609648805001,7213.609648805001,9407.562688890035,2193.9530400850344,0.0,2193.9530400850344,0.0,16,32,27213.609648805003,interactive_short,False
arrival_dense,4,7278.86315844528,7301.168284839374,10030.457677867385,2751.594519422106,22.30512639409426,2729.2893930280115,0.0,16,256,107278.86315844528,interactive_long,False
arrival_dense,5,8036.859245562617,8059.309445840196,11025.158302911446,2988.2990573488296,22.450200277578915,2965.8488570712507,0.0,16,128,58036.85924556262,interactive_medium,False
arrival_dense,6,8660.100911749432,8724.44794285752,11494.051567913853,2833.950656164421,64.34703110808732,2769.603625056334,0.0,16,256,108660.10091174944,interactive_long,False
arrival_dense,7,9134.03533948673,9138.144503866211,11554.420667928067,2420.3853284413362,4.109164379480717,2416.2761640618555,0.0,16,32,29134.03533948673,interactive_short,False
arrival_dense,8,14860.277949993648,14860.277949993648,15356.279398097573,496.0014481039252,0.0,496.0014481039252,0.0,16,64,64860.277949993644,interactive_medium,False
arrival_dense,9,19041.16364301744,19041.16364301744,19507.220624927228,466.0569819097873,0.0,466.0569819097873,0.0,16,32,39041.16364301744,interactive_short,False
arrival_dense,10,19796.89625150117,19796.89625150117,20262.143646542103,465.24739504093304,0.0,465.24739504093304,0.0,16,32,39796.896251501166,interactive_short,False
arrival_dense,11,21927.86258068714,21927.86258068714,22604.699993647733,676.8374129605945,0.0,676.8374129605945,0.0,16,128,71927.86258068714,interactive_medium,False
arrival_dense,12,22935.00624338232,22935.00624338232,23402.17816634869,467.1719229663722,0.0,467.1719229663722,0.0,16,32,42935.00624338232,interactive_short,False
arrival_dense,13,27854.59756969058,27854.59756969058,28319.412070661114,464.8145009705331,0.0,464.8145009705331,0.0,16,32,47854.59756969058,interactive_short,False
arrival_dense,14,29082.721965037814,29082.721965037814,29797.38558505738,714.6636200195644,0.0,714.6636200195644,0.0,16,128,79082.72196503781,interactive_medium,False
arrival_dense,15,29698.16547359885,29717.53144706559,30537.851504078895,839.6860304800466,19.365973466741707,820.3200570133049,0.0,16,128,79698.16547359884,interactive_medium,False
arrival_dense,16,30264.556465194222,30302.29899907095,30916.35407810059,651.7976129063682,37.742533876727975,614.0550790296402,0.0,16,32,50264.556465194226,interactive_short,False
arrival_dense,17,31912.746049415626,31912.746049415626,32664.80353548385,752.0574860682245,0.0,752.0574860682245,0.0,16,128,81912.74604941563,interactive_medium,False
arrival_dense,18,32522.379747854007,32548.073984488918,33813.30144752709,1290.921699673083,25.69423663491034,1265.2274630381726,0.0,16,256,132522.37974785402,interactive_long,False
arrival_dense,19,34279.33903209065,34279.33903209065,34744.953287055396,465.6142549647484,0.0,465.6142549647484,0.0,16,32,54279.33903209065,interactive_short,False
arrival_dense,20,38841.434104668224,38841.434104668224,40145.27938966967,1303.8452850014437,0.0,1303.8452850014437,0.0,16,256,138841.4341046682,interactive_long,False
arrival_dense,21,39861.08803365395,39909.868100667154,41058.60853166996,1197.5204980160124,48.78006701320555,1148.7404310028069,0.0,16,128,89861.08803365394,interactive_medium,False
arrival_dense,22,40356.26986695478,40358.85134363525,41276.22281964614,919.9529526913539,2.581476680468768,917.3714760108851,0.0,16,64,90356.26986695478,interactive_medium,False
arrival_dense,23,52369.512732151736,52369.512732151736,52836.05564008404,466.54290793230757,0.0,466.54290793230757,0.0,16,32,72369.51273215174,interactive_short,False
arrival_dense,24,53794.27994670757,53794.27994670757,56614.657283668086,2820.3773369605187,0.0,2820.3773369605187,0.0,16,256,153794.27994670757,interactive_long,False
arrival_dense,25,53984.901013098686,54023.0193886912,57239.531599649374,3254.6305865506874,38.118375592515804,3216.5122109581716,0.0,16,64,103984.90101309869,interactive_medium,False
arrival_dense,26,54081.426008310475,54139.12284769528,57406.6958236456,3325.269815335123,57.69683938480739,3267.5729759503156,0.0,16,32,74081.42600831047,interactive_short,False
arrival_dense,27,54313.70532508111,54474.70665667267,57640.3235636483,3326.6182385671927,161.00133159156394,3165.616906975629,0.0,16,32,74313.7053250811,interactive_short,False
arrival_dense,28,56288.45211941025,56345.91902169111,58329.38491770826,2040.9327982980103,57.46690228085936,1983.465896017151,0.0,16,256,156288.45211941024,interactive_long,False
arrival_dense,29,59429.64978247119,59429.64978247119,60107.72616740951,678.076384938322,0.0,678.076384938322,0.0,16,128,109429.64978247118,interactive_medium,False
arrival_dense,30,60526.56619803849,60526.56619803849,62616.92021309966,2090.354015061166,0.0,2090.354015061166,0.0,16,256,160526.5661980385,interactive_long,False
arrival_dense,31,60657.83688268148,60682.10071604801,62850.9808421378,2193.14395945632,24.26383336653089,2168.880126089789,0.0,16,256,160657.83688268147,interactive_long,False
arrival_dense,32,61619.13882257829,61620.89006809503,63188.31800314467,1569.1791805663815,1.7512455167452572,1567.4279350496363,0.0,16,128,111619.13882257829,interactive_medium,False
arrival_dense,33,72723.69066381486,72723.69066381486,73948.98098183455,1225.2903180196881,0.0,1225.2903180196881,0.0,16,256,172723.69066381486,interactive_long,False
