args_correct,detected_tool,latency_ms,output_tokens,prompt_tokens,ready,request_index,stage_index,target_args,target_tool,tool_correct
True,flight_search,1260.5075429892167,35,202,True,0,0,"{""date"": ""2026-01-03"", ""destination"": ""FCO"", ""origin"": ""DFW""}",flight_search,True
True,weather,734.3891329364851,29,202,True,0,1,"{""date"": ""2026-01-01"", ""location"": ""Seoul""}",weather,True
False,weather,734.0237740427256,29,202,False,0,2,"{""date"": ""2026-01-03"", ""location"": ""Rome""}",weather,True
True,flight_search,860.2297540055588,34,218,True,1,0,"{""date"": ""2027-06-10"", ""destination"": ""BER"", ""origin"": ""JFK""}",flight_search,True
True,calendar_api,1207.8619139501825,48,218,True,1,1,"{""calendar"": ""ops"", ""end_date"": ""2027-06-10"", ""keyword"": ""interview"", ""start_date"": ""2027-06-08""}",calendar_api,True
True,flight_search,858.7184030329809,34,218,True,1,2,"{""date"": ""2027-06-07"", ""destination"": ""NRT"", ""origin"": ""DFW""}",flight_search,True
True,flight_search,882.7656249050051,35,207,True,2,0,"{""date"": ""2026-11-14"", ""destination"": ""CDG"", ""origin"": ""IAD""}",flight_search,True
False,weather,709.4005859689787,28,207,False,2,1,"{""date"": ""2026-11-17"", ""destination"": ""DXB"", ""origin"": ""DFW""}",flight_search,False
True,weather,708.5297529119998,28,207,True,2,2,"{""date"": ""2026-11-15"", ""location"": ""Paris""}",weather,True
True,flight_search,857.2016520192847,34,202,True,3,0,"{""date"": ""2027-04-24"", ""destination"": ""BOS"", ""origin"": ""JFK""}",flight_search,True
True,weather,708.6898440029472,28,202,True,3,1,"{""date"": ""2027-04-24"", ""location"": ""Boston""}",weather,True
True,weather,708.5233309771866,28,202,True,3,2,"{""date"": ""2027-04-22"", ""location"": ""Austin""}",weather,True
True,weather,723.4435860300437,28,194,True,4,0,"{""date"": ""2026-09-07"", ""location"": ""Toronto""}",weather,True
False,weather,713.2822279818356,28,194,False,4,1,"{""city"": ""London"", ""company"": ""SAP"", ""role"": ""manager""}",crm_api,False
