final_success,hard_stage,request,request_index,stage_ready_count,targets,total_generation_ms,variant
True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4497.374979080632,all_high
True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1557.482321979478,all_low
True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3542.24728688132,low_stage_0
True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3496.514296042733,low_stage_1
True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3540.843577007763,low_stage_2
True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4522.615613066591,all_high
True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1565.5757278436795,all_low
True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3558.1877160584554,low_stage_0
True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3521.7160169268027,low_stage_1
True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3561.1964978743345,low_stage_2
True,2,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-15"", ""dispatch"": ""CDG-20261115-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4544.154504896142,all_high
True,2,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-15"", ""dispatch"": ""CDG-20261115-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1577.4747040122747,all_low
True,2,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-15"", ""dispatch"": ""CDG-20261115-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3576.4085019472986,low_stage_0
True,2,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-15"", ""dispatch"": ""CDG-20261115-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3532.142912968993,low_stage_1
True,2,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-15"", ""dispatch"": ""CDG-20261115-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3573.1642021564767,low_stage_2
