field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps,variant
"{'city': True, 'date': True, 'priority': True}",1447.0711260801181,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1571.2151610059664,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,all_high
{'dispatch': True},1479.0886919945478,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",484.11474900785834,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",563.7779269600287,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,16,all_low
{'dispatch': True},509.58964601159096,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",484.56857597921044,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1575.2525059506297,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,low_stage_0
{'dispatch': True},1482.42620495148,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1450.7911129621789,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,low_stage_1
