field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps
"{'city': True, 'date': True, 'priority': True}",2314.370367093943,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128
"{'city': True, 'date': True, 'priority': True}",484.9099610000849,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1864.1002640360966,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128
"{'airport': True, 'sla': True, 'date': True}",561.2654709257185,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,16
{'dispatch': True},1481.9333739578724,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128
{'dispatch': True},508.83145397529006,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,16
"{'city': True, 'date': True, 'priority': True}",1453.3243470359594,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,128
"{'city': True, 'date': True, 'priority': True}",486.6029790136963,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1577.5610470445827,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,128
"{'airport': True, 'sla': True, 'date': True}",565.4242569580674,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,16
{'dispatch': True},1486.650194041431,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,128
{'dispatch': True},512.0283419964835,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,16
