base_request_id,final_success,hard_stage,request,request_index,stage_ready_count,targets,total_generation_ms,variant
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4509.354358073324,all_high
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1557.3035709094256,all_low
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3549.4620099198073,low_stage_0
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3507.1897441521287,low_stage_1
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3546.9951587729156,low_stage_2
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4533.978156046942,all_high
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1569.0224759746343,all_low
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3570.866963942535,low_stage_0
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3524.5511869434267,low_stage_1
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3579.886651947163,low_stage_2
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4556.768515962176,all_high
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1576.2945759342983,all_low
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3586.937423911877,low_stage_0
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3538.9764548745006,low_stage_1
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3578.828042023815,low_stage_2
1,True,0,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4570.0564089929685,all_high
1,True,0,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1582.825978868641,all_low
1,True,0,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3594.39069905784,low_stage_0
1,True,0,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3547.6701009320095,low_stage_1
1,True,0,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""dispatch"": ""NRT-20270608-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3591.9585801893845,low_stage_2
