base_request_id,final_success,hard_stage,request,request_index,stage_ready_count,targets,total_generation_ms,variant
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4504.344100016169,all_high
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",827.4208990624174,all_low
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3305.0694400444627,low_stage_0
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3250.9207209805027,low_stage_1
0,True,0,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3305.2851079264656,low_stage_2
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4528.862006030977,all_high
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",834.415021003224,all_low
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3325.184212066233,low_stage_0
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3269.4086720002815,low_stage_1
0,True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3319.03197709471,low_stage_2
0,True,2,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-01"", ""dispatch"": ""ICN-20260101-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4550.808625062928,all_high
