base_request_id,field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps,variant
0,"{'city': True, 'date': True, 'priority': True}",1449.6402089716867,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,all_high
0,"{'airport': True, 'sla': True, 'date': True}",1573.2677959604189,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,all_high
0,{'dispatch': True},1481.4360950840637,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,all_high
0,"{'city': True, 'date': True, 'priority': True}",246.50365603156388,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,8,all_low
0,"{'airport': True, 'sla': True, 'date': True}",311.3706629956141,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,8,all_low
0,{'dispatch': True},269.54658003523946,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,8,all_low
0,"{'city': True, 'date': True, 'priority': True}",248.3020069776103,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,8,low_stage_0
0,"{'airport': True, 'sla': True, 'date': True}",1575.1752430805936,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,low_stage_0
0,{'dispatch': True},1481.5921899862587,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,low_stage_0
0,"{'city': True, 'date': True, 'priority': True}",1451.7221769783646,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,low_stage_1
0,"{'airport': True, 'sla': True, 'date': True}",312.2061979956925,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,8,low_stage_1
0,{'dispatch': True},1486.9923460064456,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,low_stage_1
0,"{'city': True, 'date': True, 'priority': True}",1452.0903510274366,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,low_stage_2
0,"{'airport': True, 'sla': True, 'date': True}",1582.1748869493604,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,low_stage_2
0,{'dispatch': True},271.01986994966865,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,8,low_stage_2
0,"{'city': True, 'date': True, 'priority': True}",1458.073616027832,1,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,128,all_high
0,"{'airport': True, 'sla': True, 'date': True}",1581.3894550083205,1,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,128,all_high
0,{'dispatch': True},1489.3989349948242,1,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,128,all_high
0,"{'city': True, 'date': True, 'priority': True}",248.4610870014876,1,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,8,all_low
0,"{'airport': True, 'sla': True, 'date': True}",314.0079570002854,1,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,8,all_low
0,{'dispatch': True},271.94597700145096,1,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,8,all_low
0,"{'city': True, 'date': True, 'priority': True}",249.69836103264242,1,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,8,low_stage_0
0,"{'airport': True, 'sla': True, 'date': True}",1582.8256440581754,1,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,128,low_stage_0
0,{'dispatch': True},1492.6602069754153,1,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,128,low_stage_0
0,"{'city': True, 'date': True, 'priority': True}",1461.7474159458652,1,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,128,low_stage_1
0,"{'airport': True, 'sla': True, 'date': True}",315.69766404572874,1,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,8,low_stage_1
0,{'dispatch': True},1491.9635920086876,1,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,128,low_stage_1
0,"{'city': True, 'date': True, 'priority': True}",1458.9836130617186,1,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,128,low_stage_2
0,"{'airport': True, 'sla': True, 'date': True}",1586.4588379627094,1,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,128,low_stage_2
0,{'dispatch': True},273.58952607028186,1,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,8,low_stage_2
0,"{'city': True, 'date': True, 'priority': True}",1462.5381680671126,2,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,0,128,all_high
0,"{'airport': True, 'sla': True, 'date': True}",1589.9183430010453,2,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,1,128,all_high
0,{'dispatch': True},1498.3521139947698,2,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,2,1,2,128,all_high
0,"{'city': True, 'date': True, 'priority': True}",249.0896029630676,2,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,0,8,all_low
0,"{'airport': True, 'sla': True, 'date': True}",316.6904669487849,2,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,1,8,all_low
0,{'dispatch': True},274.15780804585665,2,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,2,1,2,8,all_low
0,"{'city': True, 'date': True, 'priority': True}",250.28270401526242,2,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,0,8,low_stage_0
