base_request_id,field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps
0,"{'city': True, 'date': True, 'priority': True}",2250.9593919385225,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128
0,"{'city': True, 'date': True, 'priority': True}",247.26765602827072,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,8
0,"{'airport': True, 'sla': True, 'date': True}",1676.7953479429707,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128
0,"{'airport': True, 'sla': True, 'date': True}",312.75263894349337,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,8
0,{'dispatch': True},1497.246547951363,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128
0,{'dispatch': True},270.2307610306889,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,8
0,"{'city': True, 'date': True, 'priority': True}",1452.8267389396206,1,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,128
0,"{'city': True, 'date': True, 'priority': True}",248.15714405849576,1,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,0,8
0,"{'airport': True, 'sla': True, 'date': True}",1580.290031968616,1,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,128
0,"{'airport': True, 'sla': True, 'date': True}",313.02162702195346,1,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,1,3,1,8
0,{'dispatch': True},1487.5534439925104,1,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,128
0,{'dispatch': True},271.7133379774168,1,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,1,1,2,8
0,"{'city': True, 'date': True, 'priority': True}",1460.6871670112014,2,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,0,128
0,"{'city': True, 'date': True, 'priority': True}",248.59313701745123,2,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,0,8
0,"{'airport': True, 'sla': True, 'date': True}",1587.8308250103146,2,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,1,128
0,"{'airport': True, 'sla': True, 'date': True}",315.18138106912374,2,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,2,3,1,8
0,{'dispatch': True},1494.372347020544,2,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,2,1,2,128
0,{'dispatch': True},274.73712095525116,2,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,2,1,2,8
1,"{'city': True, 'date': True, 'priority': True}",1467.4028950976208,0,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,0,128
1,"{'city': True, 'date': True, 'priority': True}",249.96440298855305,0,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,0,8
1,"{'airport': True, 'sla': True, 'date': True}",1593.5366470366716,0,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,1,128
1,"{'airport': True, 'sla': True, 'date': True}",318.57747002504766,0,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,3,1,8
1,{'dispatch': True},1498.325172928162,0,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,1,2,128
1,{'dispatch': True},275.47171304468066,0,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,3,1,2,8
1,"{'city': True, 'date': True, 'priority': True}",1469.6683420334011,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,3,0,128
1,"{'city': True, 'date': True, 'priority': True}",250.42999105062336,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,3,0,8
1,"{'airport': True, 'sla': True, 'date': True}",1596.7882209224626,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,3,1,128
1,"{'airport': True, 'sla': True, 'date': True}",320.2236860524863,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,3,1,8
1,{'dispatch': True},1502.5805799523368,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,1,2,128
1,{'dispatch': True},276.58164594322443,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,4,1,2,8
1,"{'city': True, 'date': True, 'priority': True}",1471.918307011947,2,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,3,0,128
1,"{'city': True, 'date': True, 'priority': True}",251.09510601032525,2,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,3,0,8
1,"{'airport': True, 'sla': True, 'date': True}",1599.0100619383156,2,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,3,1,128
1,"{'airport': True, 'sla': True, 'date': True}",320.5832940293476,2,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,3,1,8
1,{'dispatch': True},1504.3843829771504,2,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,1,2,128
1,{'dispatch': True},276.1936340248212,2,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,5,1,2,8
2,"{'city': True, 'date': True, 'priority': True}",1471.2768259923905,0,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,3,0,128
2,"{'city': True, 'date': True, 'priority': True}",250.79508102498949,0,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,3,0,8
2,"{'airport': True, 'sla': True, 'date': True}",1599.2079599527642,0,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,3,1,128
2,"{'airport': True, 'sla': True, 'date': True}",320.46176004223526,0,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,3,1,8
2,{'dispatch': True},1504.6975229633972,0,isolated,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,1,2,128
2,{'dispatch': False},277.12647488806397,0,isolated,"{""dispatch"": ""CDG-261611-S3""}",False,0,Prepare the 2026-11-15 Paris itinerary with economy handling.,6,1,2,8
2,"{'city': True, 'date': True, 'priority': True}",1472.1470610238612,1,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,3,0,128
2,"{'city': True, 'date': True, 'priority': True}",250.58094505220652,1,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,3,0,8
2,"{'airport': True, 'sla': True, 'date': True}",1601.8316249828786,1,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,3,1,128
2,"{'airport': True, 'sla': True, 'date': True}",321.5989050222561,1,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,3,1,8
2,{'dispatch': True},1507.2926300344989,1,isolated,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,1,2,128
2,{'dispatch': False},276.7496749293059,1,isolated,"{""dispatch"": ""CDG-261611-S3""}",False,0,Prepare the 2026-11-15 Paris itinerary with economy handling.,7,1,2,8
2,"{'city': True, 'date': True, 'priority': True}",1472.4899679422379,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,8,3,0,128
2,"{'city': True, 'date': True, 'priority': True}",251.0444689542055,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,8,3,0,8
2,"{'airport': True, 'sla': True, 'date': True}",1603.1613129889593,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,8,3,1,128
2,"{'airport': True, 'sla': True, 'date': True}",322.3098460584879,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,8,3,1,8
