policy,ar_workers,dllm_workers,throughput_rps,slo_goodput_rps,slo_attainment,mean_latency_ms,p95_latency_ms,p99_latency_ms,p95_wait_ms,ar_fraction,dllm_fraction,load_dependent_route_fraction,arrival_rate_rps
ar_only,2,0,0.48518161908347457,0.3108194747253509,0.640625,3318.921704473127,8823.115877223303,9987.35823072108,2814.595846309865,1.0,0.0,0.125,0.5
dllm_only,0,2,0.4851247751103895,0.4036389730410663,0.83203125,2614.484893738516,6731.140225889259,9624.918448523835,2167.9257861765072,0.0,1.0,0.875,0.5
static_length,1,1,0.48518161908347457,0.35820049221397143,0.73828125,2710.432837007083,8837.708203048067,14132.789524374759,3236.382263204887,0.5,0.5,0.546875,0.5
least_loaded,1,1,0.4851247751103895,0.3922688611244165,0.80859375,2355.784167653504,5960.30645632461,7666.260275847419,1529.5848163624105,0.4921875,0.5078125,0.5,0.5
oracle_latency,1,1,0.48518161908347457,0.4321148794962195,0.890625,2016.7184723533103,5313.458509202857,7144.50722095437,1948.0617344038255,0.5546875,0.4453125,0.40625,0.5
oracle_capacity_split,1,1,0.48518161908347457,0.4321148794962195,0.890625,2016.7184723533103,5313.458509202857,7144.50722095437,1948.0617344038255,0.5546875,0.4453125,0.40625,0.5
ar_only,2,0,0.9560153916677058,0.35477133675168765,0.37109375,5882.138917011848,12266.213017503673,13038.992816981594,3427.562457046748,1.0,0.0,0.125,1.0
dllm_only,0,2,0.9636669019034072,0.5684128991695878,0.58984375,3964.39255180589,9214.934112457537,9996.032176802208,2514.3150325961324,0.0,1.0,0.875,1.0
static_length,1,1,0.9286456329534941,0.5042255585177174,0.54296875,5322.561859559276,17210.336439221373,19922.80275916089,6938.903202266454,0.5,0.5,0.546875,1.0
least_loaded,1,1,0.9602806505375844,0.555162251092041,0.578125,4370.983052397788,11389.339398385542,14285.020998307295,2326.1699181907898,0.46875,0.53125,0.5,1.0
oracle_latency,1,1,0.9558931085009609,0.6123690226334281,0.640625,3418.940864570786,8518.084255748676,9683.279766838736,3349.525995548247,0.53515625,0.46484375,0.44140625,1.0
oracle_capacity_split,1,1,0.9558931085009609,0.6123690226334281,0.640625,3418.940864570786,8518.084255748676,9683.279766838736,3349.525995548247,0.53515625,0.46484375,0.44140625,1.0
ar_only,2,0,1.775897047500155,0.09711936978516472,0.0546875,13213.415809213811,20351.84758625121,21903.788311734024,7185.579564661664,1.0,0.0,0.125,2.0
dllm_only,0,2,1.7612825547163988,0.206400299380828,0.1171875,11278.807812749099,19847.52799836677,21768.237647950948,6150.010621890291,0.0,1.0,0.875,2.0
static_length,1,1,1.4291173589091053,0.7257236588210301,0.5078125,15884.728984482677,48313.44770508685,51690.08785551051,29381.613973939937,0.5,0.5,0.546875,2.0
least_loaded,1,1,1.7436209633177115,0.10216529081939717,0.05859375,11444.883438345345,20848.039278637687,24607.34072830811,8514.920269751365,0.41015625,0.58984375,0.54296875,2.0
oracle_latency,1,1,1.80522709780509,0.16218837206842604,0.08984375,9446.351523767838,16429.988777529765,19624.24750458967,7687.188198410244,0.484375,0.515625,0.5390625,2.0
oracle_capacity_split,0,2,1.7612825547163988,0.206400299380828,0.1171875,11278.807812749099,19847.52799836677,21768.237647950948,6150.010621890291,0.0,1.0,0.875,2.0
ar_only,2,0,2.364867804710419,0.027713294586450225,0.01171875,28202.705892761413,45386.737571132246,46961.3938824789,33541.23708370471,1.0,0.0,0.125,4.0
dllm_only,0,2,2.18472798736721,0.05120456220391898,0.0234375,30912.50138207586,52531.608550561345,54351.16537332408,40642.2912311854,0.0,1.0,0.875,4.0
static_length,1,1,1.5380565718198966,0.7750363193936198,0.50390625,29490.197405266044,99286.41861273517,100989.95852464624,80022.76486299669,0.5,0.5,0.546875,4.0
least_loaded,1,1,2.0044940884022164,0.023490165098463474,0.01171875,27087.082075797607,57919.11881177843,65611.23602353105,44847.20065334224,0.58203125,0.41796875,0.44921875,4.0
oracle_latency,1,1,2.576338235384923,0.0905743910877512,0.03515625,22252.032938574586,35683.42889024632,37059.013511642894,27149.675321099483,0.50390625,0.49609375,0.50390625,4.0
oracle_capacity_split,1,1,2.576338235384923,0.0905743910877512,0.03515625,22252.032938574586,35683.42889024632,37059.013511642894,27149.675321099483,0.50390625,0.49609375,0.50390625,4.0
