policy,ar_workers,dllm_workers,throughput_rps,slo_goodput_rps,slo_attainment,mean_latency_ms,p95_latency_ms,p99_latency_ms,p95_wait_ms,ar_fraction,dllm_fraction,load_dependent_route_fraction,arrival_rate_rps
ar_only,2,0,0.5130038221069856,0.5109999009268802,0.99609375,1183.9239201716562,3263.491403428212,3647.222747820819,1684.5442289780622,1.0,0.0,0.03125,0.5
dllm_only,0,2,0.5094724051713598,0.34031164564180677,0.66796875,3384.3223189885007,9324.569176827907,12290.386096164668,2855.1111777074657,0.0,1.0,0.96875,0.5
static_length,1,1,0.5064958565863305,0.3719578946805864,0.734375,2997.709315826077,12480.278854991397,16216.466673743307,4788.4548594607695,0.63671875,0.36328125,0.39453125,0.5
least_loaded,1,1,0.5118563489754985,0.4698681328486021,0.91796875,1636.8860635110052,4663.479870409192,6458.654043379947,654.9128541400423,0.578125,0.421875,0.4140625,0.5
oracle_latency,1,1,0.5116254980019025,0.5036313495956228,0.984375,1297.4534532574748,3580.794999999991,4653.8763199572295,1691.615186779556,0.84375,0.15625,0.125,0.5
oracle_capacity_split,2,0,0.5130038221069856,0.5109999009268802,0.99609375,1183.9239201716562,3263.491403428212,3647.222747820819,1684.5442289780622,1.0,0.0,0.03125,0.5
ar_only,2,0,1.0161617057208556,0.9566209807762742,0.94140625,1448.1535502986653,4110.383808813127,5863.073262407152,1516.5411917021665,1.0,0.0,0.03125,1.0
dllm_only,0,2,1.0042086643061843,0.3295059679754667,0.328125,7466.108384120245,19153.95074508804,24892.951257822897,4614.488582615806,0.0,1.0,0.96875,1.0
static_length,1,1,0.9639881247408695,0.6552106785348097,0.6796875,7382.061004454695,32848.67457308504,41306.41818740661,13877.986572711015,0.63671875,0.36328125,0.39453125,1.0
least_loaded,1,1,1.0117474465434872,0.8141405233904624,0.8046875,2347.1218203321228,6289.09859639368,12284.976940321409,1662.101221343244,0.6796875,0.3203125,0.3203125,1.0
oracle_latency,1,1,1.0117308127824078,0.7983188444611188,0.7890625,2265.7001032560506,7100.049668204829,8417.791925119693,2756.8041145944335,0.74609375,0.25390625,0.22265625,1.0
oracle_capacity_split,2,0,1.0161617057208556,0.9566209807762742,0.94140625,1448.1535502986653,4110.383808813127,5863.073262407152,1516.5411917021665,1.0,0.0,0.03125,1.0
ar_only,2,0,1.994125702227803,1.137274814551794,0.5703125,3484.7280938293275,8171.0470782888515,9129.167539028153,2863.5006074394278,1.0,0.0,0.03125,2.0
dllm_only,0,2,1.5990907033577721,0.06246448059991297,0.0390625,22901.909533489157,40617.625303804096,46235.39155961845,19970.13866656456,0.0,1.0,0.96875,2.0
static_length,1,1,1.376645292995413,0.876535870149423,0.63671875,16690.87447768149,63843.15632180818,72249.96410622471,42282.6344507965,0.63671875,0.36328125,0.39453125,2.0
least_loaded,1,1,1.9106933523687604,0.38810958719990446,0.203125,8721.912053203352,19942.78188514003,22481.381164509443,5372.795010782102,0.7109375,0.2890625,0.296875,2.0
oracle_latency,1,1,1.9545272163137979,1.0841518152990597,0.5546875,4646.453966040832,11166.518173764753,12938.575506900957,4308.2236490703635,0.59375,0.40625,0.375,2.0
oracle_capacity_split,2,0,1.994125702227803,1.137274814551794,0.5703125,3484.7280938293275,8171.0470782888515,9129.167539028153,2863.5006074394278,1.0,0.0,0.03125,2.0
ar_only,2,0,3.4917458764187708,0.4910267638713896,0.140625,8402.735689545192,12556.68178066105,12974.59731400133,4705.595697695881,1.0,0.0,0.03125,4.0
dllm_only,0,2,1.7344463185740295,0.013550361863859606,0.0078125,45265.86746356577,87222.13443908253,90592.85773689227,65274.631050409764,0.0,1.0,0.96875,4.0
static_length,1,1,1.4672856596724262,0.9342482911195525,0.63671875,25909.14052077339,108356.97314089687,113082.15966598791,80538.5084602949,0.63671875,0.36328125,0.39453125,4.0
least_loaded,1,1,2.3866898672626706,0.055938043763968846,0.0234375,23151.824385952023,44696.06300984094,47596.8585293371,36095.87895371268,0.80078125,0.19921875,0.19921875,4.0
oracle_latency,1,1,2.875958015580935,0.3594947519476169,0.125,13140.101768926548,28141.962780417132,31670.746802345435,19566.798724288878,0.6484375,0.3515625,0.3515625,4.0
oracle_capacity_split,2,0,3.4917458764187708,0.4910267638713896,0.140625,8402.735689545192,12556.68178066105,12974.59731400133,4705.595697695881,1.0,0.0,0.03125,4.0
