checkpoint_step,progress_fraction,block_index,inner_step,is_block_boundary_checkpoint,ok,final_equal,baseline_tail_steps,resumed_tail_steps,serialize_restore_ms,state_bytes_total,state_bytes_x,state_bytes_attention_mask,state_bytes_current_schedule,divergence
0,0.0,0,0,True,True,True,119,119,0.14940200344426557,2544,1224,1224,0,
1,0.008403361344537815,0,1,False,True,True,118,118,0.18242399528389797,2800,1224,1224,256,
2,0.01680672268907563,0,2,False,True,True,117,117,0.17137300164904445,2800,1224,1224,256,
3,0.025210084033613446,0,3,False,True,True,116,116,0.18342600378673524,2800,1224,1224,256,
27,0.226890756302521,0,27,False,True,True,92,92,0.1560540040372871,2800,1224,1224,256,
28,0.23529411764705882,1,0,True,True,True,91,91,0.14903200644766912,2544,1224,1224,0,
29,0.24369747899159663,1,1,False,True,True,90,90,0.1699109998298809,2800,1224,1224,256,
30,0.25210084033613445,1,2,False,True,True,89,89,0.16780699661467224,2800,1224,1224,256,
31,0.2605042016806723,1,3,False,True,True,88,88,0.17609199858270586,2800,1224,1224,256,
58,0.48739495798319327,1,30,False,True,True,61,61,0.1565060010761954,2800,1224,1224,256,
59,0.4957983193277311,2,0,True,True,True,60,60,0.1502839950262569,2544,1224,1224,0,
60,0.5042016806722689,2,1,False,True,True,59,59,0.17149400082416832,2800,1224,1224,256,
61,0.5126050420168067,2,2,False,True,True,58,58,0.1629879989195615,2800,1224,1224,256,
62,0.5210084033613446,2,3,False,True,True,57,57,0.16180599777726457,2800,1224,1224,256,
89,0.7478991596638656,2,30,False,True,True,30,30,0.1655020023463294,2800,1224,1224,256,
90,0.7563025210084033,2,31,False,True,True,29,29,0.16800699813757092,2800,1224,1224,256,
91,0.7647058823529411,3,0,True,True,True,28,28,0.14983299479354173,2544,1224,1224,0,
92,0.773109243697479,3,1,False,True,True,27,27,0.1709830030449666,2800,1224,1224,256,
93,0.7815126050420168,3,2,False,True,True,26,26,0.17941900296136737,2800,1224,1224,256,
94,0.7899159663865546,3,3,False,True,True,25,25,0.1873439978226088,2800,1224,1224,256,
118,0.9915966386554622,3,27,False,True,True,1,1,0.1800499958335422,2800,1224,1224,256,
