cache_mode,schedule_mode,checkpoint_progress,checkpoint_index,block,inner_step,checkpoint_type,variant,removed_components,exact_intermediate,exact_final,checkpoint_bytes,full_checkpoint_bytes,export_to_cpu_ms,notes
none,quota,0.0,0,0,0,block_boundary,full,,True,True,2464,2464,0.06433200178435072,
none,quota,0.0,0,0,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.05734799924539402,
none,quota,0.0,0,0,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07133500184863806,
none,quota,0.0,0,0,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07157599611673504,
none,quota,0.0,0,0,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07248700421769172,
none,quota,0.0,0,0,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.06501300231320783,
none,quota,0.25,32,1,0,block_boundary,full,,True,True,2464,2464,0.07291800284292549,
none,quota,0.25,32,1,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.05562500155065209,
none,quota,0.25,32,1,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07099499634932727,
none,quota,0.25,32,1,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07386000652331859,
none,quota,0.25,32,1,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07134499901439995,
none,quota,0.25,32,1,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.051707997045014054,
none,quota,0.5,64,2,0,block_boundary,full,,True,True,2464,2464,0.07473200093954802,
none,quota,0.5,64,2,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.051768001867458224,
none,quota,0.5,64,2,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.06986200605751947,
none,quota,0.5,64,2,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.06795900117140263,
none,quota,0.5,64,2,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.06845900497864932,
none,quota,0.5,64,2,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.05301000055624172,
none,quota,0.75,96,3,0,block_boundary,full,,True,True,2464,2464,0.07489100244129077,
none,quota,0.75,96,3,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.049283000407740474,
none,quota,0.75,96,3,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.06264900002861395,
none,quota,0.75,96,3,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.06405099702533334,
none,quota,0.75,96,3,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.0630490030744113,
none,quota,0.75,96,3,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.049854999815579504,
none,quota,0.9921875,127,3,31,inner_step,full,,True,True,2720,2720,0.08602199523011222,
none,quota,0.9921875,127,3,31,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.05879100353922695,
none,quota,0.9921875,127,3,31,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.05687699740519747,
none,quota,0.9921875,127,3,31,inner_step,no_block_index,block_index,True,True,2712,2720,0.07028199615888298,
none,quota,0.9921875,127,3,31,inner_step,no_inner_step,inner_step,True,True,2712,2720,0.06936100544407964,
none,quota,0.9921875,127,3,31,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2720,0.043312000343576074,
