cache_mode,schedule_mode,checkpoint_progress,checkpoint_index,block,inner_step,checkpoint_type,variant,removed_components,exact_intermediate,exact_final,checkpoint_bytes,full_checkpoint_bytes,export_to_cpu_ms,notes
none,threshold,0.0,0,0,0,block_boundary,full,,True,True,2464,2464,0.07305700273718685,
none,threshold,0.0,0,0,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.06409100024029613,
none,threshold,0.0,0,0,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07899900083430111,
none,threshold,0.0,0,0,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07060300413286313,
none,threshold,0.0,0,0,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07238599937409163,
none,threshold,0.0,0,0,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2464,0.0583200016990304,
none,threshold,0.008403361344537815,1,0,1,inner_step,full,,True,True,2720,2720,0.08372800220968202,
none,threshold,0.008403361344537815,1,0,1,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07225599983939901,
none,threshold,0.008403361344537815,1,0,1,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07138500222936273,
none,threshold,0.008403361344537815,1,0,1,inner_step,no_block_index,block_index,True,True,2712,2720,0.08439899829681963,
none,threshold,0.008403361344537815,1,0,1,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08525099838152528,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.008403361344537815,1,0,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.0486919961986132,
none,threshold,0.01680672268907563,2,0,2,inner_step,full,,True,True,2720,2720,0.08579100540373474,
none,threshold,0.01680672268907563,2,0,2,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07351900421781465,
none,threshold,0.01680672268907563,2,0,2,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07153500337153673,
none,threshold,0.01680672268907563,2,0,2,inner_step,no_block_index,block_index,True,True,2712,2720,0.0932059992919676,
none,threshold,0.01680672268907563,2,0,2,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08569099736632779,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.01680672268907563,2,0,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.04764900222653523,
none,threshold,0.025210084033613446,3,0,3,inner_step,full,,True,True,2720,2720,0.08388800051761791,
none,threshold,0.025210084033613446,3,0,3,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.08074200013652444,
none,threshold,0.025210084033613446,3,0,3,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07355900015681982,
none,threshold,0.025210084033613446,3,0,3,inner_step,no_block_index,block_index,True,True,2712,2720,0.08566200267523527,
none,threshold,0.025210084033613446,3,0,3,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08515099762007594,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.025210084033613446,3,0,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.047649999032728374,
none,threshold,0.09243697478991597,11,0,11,inner_step,full,,True,True,2720,2720,0.0863029999891296,
none,threshold,0.09243697478991597,11,0,11,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07230600022012368,
none,threshold,0.09243697478991597,11,0,11,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07371899846475571,
none,threshold,0.09243697478991597,11,0,11,inner_step,no_block_index,block_index,True,True,2712,2720,0.08414799958700314,
none,threshold,0.09243697478991597,11,0,11,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08519000402884558,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.09243697478991597,11,0,11,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.04765999619849026,
none,threshold,0.23529411764705882,28,1,0,block_boundary,full,,True,True,2464,2464,0.07485099922632799,
none,threshold,0.23529411764705882,28,1,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.057197998103220016,
none,threshold,0.23529411764705882,28,1,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07751600060146302,
none,threshold,0.23529411764705882,28,1,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07113400351954624,
none,threshold,0.23529411764705882,28,1,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07249700138345361,
none,threshold,0.23529411764705882,28,1,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2464,0.05677800072589889,
none,threshold,0.24369747899159663,29,1,1,inner_step,full,,True,True,2720,2720,0.09340600081486627,
none,threshold,0.24369747899159663,29,1,1,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07318799907807261,
none,threshold,0.24369747899159663,29,1,1,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.06936100544407964,
none,threshold,0.24369747899159663,29,1,1,inner_step,no_block_index,block_index,True,True,2712,2720,0.08260600588982925,
none,threshold,0.24369747899159663,29,1,1,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08529099432053044,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.24369747899159663,29,1,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.04749999789055437,
none,threshold,0.25210084033613445,30,1,2,inner_step,full,,True,True,2720,2720,0.08494000212522224,
none,threshold,0.25210084033613445,30,1,2,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07132500468287617,
none,threshold,0.25210084033613445,30,1,2,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07057299808366224,
none,threshold,0.25210084033613445,30,1,2,inner_step,no_block_index,block_index,True,True,2712,2720,0.08526100282324478,
none,threshold,0.25210084033613445,30,1,2,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08337799954460934,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.25210084033613445,30,1,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.04703800368588418,
none,threshold,0.2605042016806723,31,1,3,inner_step,full,,True,True,2720,2720,0.08773499575909227,
none,threshold,0.2605042016806723,31,1,3,inner_step,no_attention_mask,attention_mask,True,True,1496,2720,0.07083400123519823,
none,threshold,0.2605042016806723,31,1,3,inner_step,no_current_schedule,current_schedule,True,True,2464,2720,0.07950000144774094,
none,threshold,0.2605042016806723,31,1,3,inner_step,no_block_index,block_index,True,True,2712,2720,0.0837580009829253,
none,threshold,0.2605042016806723,31,1,3,inner_step,no_inner_step,inner_step,False,False,2712,2720,0.08890800381777808,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.2605042016806723,31,1,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2720,0.04731899389298633,
none,threshold,0.4957983193277311,59,2,0,block_boundary,full,,True,True,2464,2464,0.0764639989938587,
