cache_mode,schedule_mode,progress,state_component,required,reconstructable,bytes,evidence
none,threshold,0.0,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.0,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.0,current_schedule,False,True,0,component absent at this checkpoint
none,threshold,0.0,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.0,inner_step,False,True,8,removal preserved exact trajectory
none,threshold,0.0,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.0,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.0,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.008403361344537815,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.008403361344537815,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.008403361344537815,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.008403361344537815,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.008403361344537815,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.008403361344537815,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.008403361344537815,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.008403361344537815,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.01680672268907563,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.01680672268907563,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.01680672268907563,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.01680672268907563,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.01680672268907563,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.01680672268907563,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.01680672268907563,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.01680672268907563,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.025210084033613446,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.025210084033613446,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.025210084033613446,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.025210084033613446,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.025210084033613446,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.025210084033613446,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.025210084033613446,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.025210084033613446,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.09243697478991597,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.09243697478991597,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.09243697478991597,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.09243697478991597,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.09243697478991597,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.09243697478991597,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.09243697478991597,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.09243697478991597,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.23529411764705882,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.23529411764705882,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.23529411764705882,current_schedule,False,True,0,component absent at this checkpoint
none,threshold,0.23529411764705882,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.23529411764705882,inner_step,False,True,8,removal preserved exact trajectory
none,threshold,0.23529411764705882,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.23529411764705882,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.23529411764705882,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.24369747899159663,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.24369747899159663,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.24369747899159663,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.24369747899159663,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.24369747899159663,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.24369747899159663,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.24369747899159663,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.24369747899159663,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.25210084033613445,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.25210084033613445,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.25210084033613445,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.25210084033613445,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.25210084033613445,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.25210084033613445,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.25210084033613445,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.25210084033613445,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.2605042016806723,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.2605042016806723,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.2605042016806723,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.2605042016806723,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.2605042016806723,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.2605042016806723,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.2605042016806723,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.2605042016806723,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.4957983193277311,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.4957983193277311,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.4957983193277311,current_schedule,False,True,0,component absent at this checkpoint
none,threshold,0.4957983193277311,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.4957983193277311,inner_step,False,True,8,removal preserved exact trajectory
none,threshold,0.4957983193277311,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.4957983193277311,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.4957983193277311,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.7478991596638656,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.7478991596638656,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.7478991596638656,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.7478991596638656,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.7478991596638656,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.7478991596638656,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.7478991596638656,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.7478991596638656,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,threshold,0.9915966386554622,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,threshold,0.9915966386554622,attention_mask,False,True,1224,removal preserved exact trajectory
none,threshold,0.9915966386554622,current_schedule,False,True,256,removal preserved exact trajectory
none,threshold,0.9915966386554622,block_index,False,True,8,removal preserved exact trajectory
none,threshold,0.9915966386554622,inner_step,True,False,8,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
none,threshold,0.9915966386554622,past_key_values,False,True,0,component absent at this checkpoint
none,threshold,0.9915966386554622,replace_position,False,True,0,component absent at this checkpoint
none,threshold,0.9915966386554622,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,quota,0.0,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,quota,0.0,attention_mask,False,True,1224,removal preserved exact trajectory
none,quota,0.0,current_schedule,False,True,0,component absent at this checkpoint
none,quota,0.0,block_index,False,True,8,removal preserved exact trajectory
none,quota,0.0,inner_step,False,True,8,removal preserved exact trajectory
none,quota,0.0,past_key_values,False,True,0,component absent at this checkpoint
none,quota,0.0,replace_position,False,True,0,component absent at this checkpoint
none,quota,0.0,request_metadata_and_config,False,True,0,reused from immutable original request/config
none,quota,0.0078125,x,True,False,1224,semantic canvas; removal is not a valid continuation
none,quota,0.0078125,attention_mask,False,True,1224,removal preserved exact trajectory
none,quota,0.0078125,current_schedule,False,True,256,removal preserved exact trajectory
none,quota,0.0078125,block_index,False,True,8,removal preserved exact trajectory
