attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,153,0,"[[25, 57]]",32,dual,1,False,[32],16165096448,16044347392,16167603200,123255808,117.5458984375,15418.6279296875,1,0,39.65355901164003,153,4,,warmup,[25],0,,153,0,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[31],16173537792,16165100032,16177914368,12814336,12.220703125,15428.46142578125,1,1,45.05793598946184,32,4,153,refine,[25],1,32,153,1,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[30],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,2,44.55675900680944,32,4,153,refine,[25],2,32,153,2,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[29],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,3,44.40948099363595,32,4,153,refine,[25],3,32,153,3,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[26],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,4,44.42836600355804,32,4,153,refine,[25],4,32,153,4,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[25],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,5,44.37999500078149,32,4,153,refine,[25],5,32,153,5,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[24],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,6,44.398851023288444,32,4,153,refine,[25],6,32,153,6,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[23],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,7,44.32531198835932,32,4,153,refine,[25],7,32,153,7,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[22],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,8,44.458794000092894,32,4,153,refine,[25],8,32,153,8,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[21],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,9,44.71559901139699,32,4,153,refine,[25],9,32,153,9,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[20],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,10,46.03963901172392,32,4,153,refine,[25],10,32,153,10,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[19],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,11,44.357222999678925,32,4,153,refine,[25],11,32,153,11,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[18],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,12,44.475425995187834,32,4,153,refine,[25],12,32,153,12,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[17],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,13,44.403931009583175,32,4,153,refine,[25],13,32,153,13,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[16],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,14,44.433175993617624,32,4,153,refine,[25],14,32,153,14,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[15],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,15,44.44600999704562,32,4,153,refine,[25],15,32,153,15,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[14],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,16,44.53520799870603,32,4,153,refine,[25],16,32,153,16,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[13],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,17,44.33517102734186,32,4,153,refine,[25],17,32,153,17,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[12],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,18,44.42420799750835,32,4,153,refine,[25],18,32,153,18,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[11],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,19,44.38266099896282,32,4,153,refine,[25],19,32,153,19,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[10],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,20,44.4065949996002,32,4,153,refine,[25],20,32,153,20,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[9],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,21,44.32957002427429,32,4,153,refine,[25],21,32,153,21,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[8],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,22,44.374655990395695,32,4,153,refine,[25],22,32,153,22,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[7],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,23,44.318038009805605,32,4,153,refine,[25],23,32,153,23,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[6],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,24,44.39419199479744,32,4,153,refine,[25],24,32,153,24,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[5],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,25,44.41443001269363,32,4,153,refine,[25],25,32,153,25,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[4],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,26,44.37035700539127,32,4,153,refine,[25],26,32,153,26,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[3],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,27,44.362191983964294,32,4,153,refine,[25],27,32,153,27,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[2],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,28,44.3784529925324,32,4,153,refine,[25],28,32,153,28,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[1],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,29,44.3791130091995,32,4,153,refine,[25],29,32,153,29,32,True
153,153,1,"[[57, 89]]",32,dual,1,False,[32],16294288384,16173539328,16296795136,123255808,117.5458984375,15541.8349609375,1,30,37.68152397242375,153,4,,warmup,[25],30,,153,0,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[16],16263684096,16255590400,16267487232,11896832,11.345703125,15513.884765625,1,31,45.36524598370306,32,4,153,refine,[25],31,32,153,1,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[13],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,32,45.18330201972276,32,4,153,refine,[25],32,32,153,2,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[11],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,33,46.03233598754741,32,4,153,refine,[25],33,32,153,3,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[10],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,34,44.38638698775321,32,4,153,refine,[25],34,32,153,4,32,True
