attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,sequence_length,step_index,steps_per_block,use_cache
153,153,0,"[[25, 57]]",32,prefix,1,False,[32],16165970432,16044303872,16168477184,124173312,118.4208984375,15419.46142578125,1,0,39.11002099630423,153,4,,warmup,[25],0,153,0,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[31],16280399360,16165973504,16282496512,116523008,111.125,15528.19873046875,1,1,34.1307969938498,128,4,25,refine,[25],1,153,1,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[30],16393041920,16280401920,16395139072,114737152,109.421875,15635.623046875,1,2,33.78260901081376,128,4,25,refine,[25],2,153,2,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[29],16393041920,16278616064,16395139072,116523008,111.125,15635.623046875,1,3,33.664294984191656,128,4,25,refine,[25],3,153,3,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[28],16394344448,16280401920,16396441600,116039680,110.6640625,15636.865234375,1,4,33.63152401288971,128,4,25,refine,[25],4,153,4,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[27],16394393600,16279918592,16396490752,116572160,111.171875,15636.912109375,1,5,33.62587298033759,128,4,25,refine,[25],5,153,5,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[26],16394393600,16280451072,16396490752,116039680,110.6640625,15636.912109375,1,6,33.59601699048653,128,4,25,refine,[25],6,153,6,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[25],16394393600,16279918592,16396490752,116572160,111.171875,15636.912109375,1,7,33.709419978549704,128,4,25,refine,[25],7,153,7,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[24],16393353216,16280451072,16395450368,114999296,109.671875,15635.919921875,1,8,33.65538900834508,128,4,25,refine,[25],8,153,8,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[23],16393353216,16278878208,16395450368,116572160,111.171875,15635.919921875,1,9,33.82820502156392,128,4,25,refine,[25],9,153,9,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[22],16393140224,16280451072,16395237376,114786304,109.46875,15635.716796875,1,10,33.765236992621794,128,4,25,refine,[25],10,153,10,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[21],16393140224,16278665216,16395237376,116572160,111.171875,15635.716796875,1,11,33.72742497595027,128,4,25,refine,[25],11,153,11,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[20],16393189376,16280451072,16395286528,114835456,109.515625,15635.763671875,1,12,33.7182370130904,128,4,25,refine,[25],12,153,12,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[19],16393140224,16278714368,16395237376,116523008,111.125,15635.716796875,1,13,33.710582996718585,128,4,25,refine,[25],13,153,13,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[18],16393041920,16280401920,16395139072,114737152,109.421875,15635.623046875,1,14,33.62316798302345,128,4,25,refine,[25],14,153,14,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[17],16392222720,16278616064,16394319872,115703808,110.34375,15634.841796875,1,15,33.629138983087614,128,4,25,refine,[25],15,153,15,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[16],16393140224,16279582720,16395237376,115654656,110.296875,15635.716796875,1,16,33.6368229764048,128,4,25,refine,[25],16,153,16,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[15],16393140224,16279533568,16395237376,115703808,110.34375,15635.716796875,1,17,33.62900798674673,128,4,25,refine,[25],17,153,17,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[14],16393140224,16279582720,16395237376,115654656,110.296875,15635.716796875,1,18,33.59672802616842,128,4,25,refine,[25],18,153,18,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[13],16393041920,16279533568,16395139072,115605504,110.25,15635.623046875,1,19,33.62218599068001,128,4,25,refine,[25],19,153,19,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[12],16393140224,16279484416,16395237376,115752960,110.390625,15635.716796875,1,20,33.649757999228314,128,4,25,refine,[25],20,153,20,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[11],16393140224,16279631872,16395237376,115605504,110.25,15635.716796875,1,21,33.63221499603242,128,4,25,refine,[25],21,153,21,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[10],16393140224,16279484416,16395237376,115752960,110.390625,15635.716796875,1,22,33.617016015341505,128,4,25,refine,[25],22,153,22,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[9],16393140224,16279631872,16395237376,115605504,110.25,15635.716796875,1,23,33.66947500035167,128,4,25,refine,[25],23,153,23,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[8],16393140224,16279484416,16395237376,115752960,110.390625,15635.716796875,1,24,33.69104600278661,128,4,25,refine,[25],24,153,24,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[7],16393140224,16279631872,16395237376,115605504,110.25,15635.716796875,1,25,33.73182300128974,128,4,25,refine,[25],25,153,25,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[6],16393140224,16279484416,16395237376,115752960,110.390625,15635.716796875,1,26,33.69755801395513,128,4,25,refine,[25],26,153,26,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[5],16393140224,16279631872,16395237376,115605504,110.25,15635.716796875,1,27,33.689974021399394,128,4,25,refine,[25],27,153,27,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[4],16393140224,16279484416,16395237376,115752960,110.390625,15635.716796875,1,28,33.78675598651171,128,4,25,refine,[25],28,153,28,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[3],16393140224,16279631872,16395237376,115605504,110.25,15635.716796875,1,29,33.80433001439087,128,4,25,refine,[25],29,153,29,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[2],16393091072,16279484416,16395188224,115703808,110.34375,15635.669921875,1,30,33.67770099430345,128,4,25,refine,[25],30,153,30,32,True
153,153,0,"[[0, 32]]",32,prefix,1,True,[1],16393140224,16279582720,16395237376,115654656,110.296875,15635.716796875,1,31,33.7132679997012,128,4,25,refine,[25],31,153,31,32,True
153,153,1,"[[57, 89]]",32,prefix,1,False,[32],16399464960,16279535104,16401971712,122436608,116.7646484375,15642.13916015625,1,32,38.40718400897458,153,4,,warmup,[25],32,153,0,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[22],16384129024,16277796864,16385701888,107905024,102.90625,15626.623046875,1,33,32.848014001501724,96,4,57,refine,[25],33,153,1,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[18],16378256384,16270571520,16379829248,109257728,104.1962890625,15621.0224609375,1,34,32.5788949849084,96,4,57,refine,[25],34,153,2,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[16],16378256384,16271924224,16379829248,107905024,102.90625,15621.0224609375,1,35,32.63041298487224,96,4,57,refine,[25],35,153,3,32,True
