absolute_position,commit_correct_w1,commit_correct_w2,commit_correct_w3,commit_correct_w4,commit_fraction_w1,commit_fraction_w2,commit_fraction_w3,commit_fraction_w4,commit_step_w1,commit_step_w2,commit_step_w3,commit_step_w4,final_stable_fraction,final_stable_step,final_token,flip_count,position,request_index
24,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,17,1,0,0
25,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,781,1,1,0
26,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,220,1,2,0
27,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,17,1,3,0
28,False,False,False,True,0.0,0.16666666666666666,0.3333333333333333,1.0,0,1,2,6,0.5,3,27198,1,4,0
29,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,220,1,5,0
30,False,True,True,True,0.0,0.3333333333333333,0.5,0.6666666666666666,0,2,3,4,0.16666666666666666,1,19,1,6,0
31,False,False,True,True,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0,1,4,5,0.3333333333333333,2,13,1,7,0
32,False,False,True,True,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0,1,4,5,0.3333333333333333,2,126348,1,8,0
24,False,True,True,True,0.0,0.06666666666666667,0.1,0.13333333333333333,0,2,3,4,0.03333333333333333,1,47869,1,0,1
25,False,True,True,True,0.0,0.06666666666666667,0.1,0.13333333333333333,0,2,3,4,0.03333333333333333,1,6306,1,1,1
26,False,True,True,True,0.0,0.06666666666666667,0.1,0.13333333333333333,0,2,3,4,0.03333333333333333,1,71323,1,2,1
27,False,False,False,True,0.0,0.03333333333333333,0.06666666666666667,0.2,0,1,2,6,0.1,3,17329,1,3,1
28,False,False,True,True,0.0,0.03333333333333333,0.13333333333333333,0.16666666666666666,0,1,4,5,0.06666666666666667,2,297,1,4,1
29,False,False,False,True,0.0,0.03333333333333333,0.06666666666666667,0.2,0,1,2,6,0.1,3,268,1,5,1
30,False,False,False,False,0.0,0.03333333333333333,0.06666666666666667,0.1,0,1,2,3,0.16666666666666666,5,24022,1,6,1
31,False,False,False,False,0.0,0.03333333333333333,0.06666666666666667,0.1,0,1,2,3,0.13333333333333333,4,300,1,7,1
32,False,False,False,False,0.0,0.03333333333333333,0.06666666666666667,0.1,0,1,2,3,0.26666666666666666,8,2258,1,8,1
33,False,False,False,False,0.0,0.03333333333333333,0.06666666666666667,0.1,0,1,2,3,0.2,6,6306,1,9,1
