detected_tool,fraction,ready,request_index,source,step,text
,0.0,False,0,dllm,0,
flight_search,0.1,False,0,dllm,1,"TOOL: flight_search
ARGS: originFO"
flight_search,0.2,False,0,dllm,2,"TOOL: flight_search
ARGS: originFO destinationN"
flight_search,0.3,False,0,dllm,3,"TOOL: flight_search
ARGS: originFO destinationICN date"
flight_search,0.4,False,0,dllm,4,"TOOL: flight_search
ARGS: originSFO destinationICN date2009-14"
flight_search,0.5,True,0,dllm,5,"TOOL: flight_search
ARGS: originSFO destinationICN date2026-09-14"
flight_search,0.6,True,0,dllm,6,"TOOL: flight_search
ARGS: origin=""SFO destinationICN date2026-09-14"
flight_search,0.7,True,0,dllm,7,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026-09-14"""
flight_search,0.8,True,0,dllm,8,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026-09-14"""
flight_search,0.9,True,0,dllm,9,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026-09-14"""
flight_search,1.0,True,0,dllm,10,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026-09-14"""
,0.0,False,0,ar_prefix,0,
,0.1,False,0,ar_prefix,1,TOOL: fl
flight_search,0.2,False,0,ar_prefix,2,TOOL: flight_sea
flight_search,0.3,False,0,ar_prefix,3,"TOOL: flight_search
ARG"
flight_search,0.4,False,0,ar_prefix,4,"TOOL: flight_search
ARGS: origi"
flight_search,0.5,False,0,ar_prefix,5,"TOOL: flight_search
ARGS: origin=""SFO"""
flight_search,0.6,False,0,ar_prefix,6,"TOOL: flight_search
ARGS: origin=""SFO""; destin"
flight_search,0.7,False,0,ar_prefix,7,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""I"
flight_search,0.8,False,0,ar_prefix,8,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; da"
flight_search,0.9,False,0,ar_prefix,9,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026"
flight_search,1.0,True,0,ar_prefix,10,"TOOL: flight_search
ARGS: origin=""SFO""; destination=""ICN""; date=""2026-09-14"""
,0.0,False,1,dllm,0,
flight_search,0.1,False,1,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.2,False,1,dllm,2,"TOOL: flight_search
ARGS: origin"
flight_search,0.3,False,1,dllm,3,"TOOL: flight_search
ARGS: origin"
flight_search,0.4,False,1,dllm,4,"TOOL: flight_search
ARGS: origin"
flight_search,0.5,False,1,dllm,5,"TOOL: flight_search
ARGS: origin; destination=LAX; date=2026-12-03"
flight_search,0.6,False,1,dllm,6,"TOOL: flight_search
ARGS: originFK; destination=LAX; date=2026-12-03"
flight_search,0.7,True,1,dllm,7,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=2026-12-03"
flight_search,0.8,True,1,dllm,8,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=2026-12-03"
flight_search,0.9,True,1,dllm,9,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=2026-12-03"
flight_search,1.0,True,1,dllm,10,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=2026-12-03"
,0.0,False,1,ar_prefix,0,
,0.1,False,1,ar_prefix,1,TOOL: f
flight_search,0.2,False,1,ar_prefix,2,TOOL: flight_s
flight_search,0.3,False,1,ar_prefix,3,"TOOL: flight_search
A"
flight_search,0.4,False,1,ar_prefix,4,"TOOL: flight_search
ARGS: or"
flight_search,0.5,False,1,ar_prefix,5,"TOOL: flight_search
ARGS: origin=jF"
flight_search,0.6,False,1,ar_prefix,6,"TOOL: flight_search
ARGS: origin=jFK; dest"
flight_search,0.7,False,1,ar_prefix,7,"TOOL: flight_search
ARGS: origin=jFK; destination"
flight_search,0.8,False,1,ar_prefix,8,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; d"
flight_search,0.9,False,1,ar_prefix,9,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=202"
flight_search,1.0,True,1,ar_prefix,10,"TOOL: flight_search
ARGS: origin=jFK; destination=LAX; date=2026-12-03"
,0.0,False,2,dllm,0,
flight_search,0.125,False,2,dllm,1,"TOOL: flight_search
ARGS: originOS"
flight_search,0.25,False,2,dllm,2,"TOOL: flight_search
ARGS: originBOS destinationL date"
flight_search,0.375,True,2,dllm,3,"TOOL: flight_search
ARGS: originBOS destinationLHR date2027-01-08"
flight_search,0.5,True,2,dllm,4,"TOOL: flight_search
ARGS: origin=""BOS destinationLHR date2027-01-08"
flight_search,0.625,True,2,dllm,5,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""2027-01-08"""
flight_search,0.75,True,2,dllm,6,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""2027-01-08"""
flight_search,0.875,True,2,dllm,7,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""2027-01-08"""
flight_search,1.0,True,2,dllm,8,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""2027-01-08"""
,0.0,False,2,ar_prefix,0,
,0.125,False,2,ar_prefix,1,TOOL: flig
flight_search,0.25,False,2,ar_prefix,2,TOOL: flight_search
flight_search,0.375,False,2,ar_prefix,3,"TOOL: flight_search
ARGS: ori"
flight_search,0.5,False,2,ar_prefix,4,"TOOL: flight_search
ARGS: origin=""BOS"""
flight_search,0.625,False,2,ar_prefix,5,"TOOL: flight_search
ARGS: origin=""BOS""; destinat"
flight_search,0.75,False,2,ar_prefix,6,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR"""
flight_search,0.875,False,2,ar_prefix,7,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""20"
flight_search,1.0,True,2,ar_prefix,8,"TOOL: flight_search
ARGS: origin=""BOS""; destination=""LHR""; date=""2027-01-08"""
,0.0,False,3,dllm,0,
flight_search,0.14285714285714285,False,3,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.2857142857142857,False,3,dllm,2,"TOOL: flight_search
ARGS: origin;"
flight_search,0.42857142857142855,False,3,dllm,3,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=20"
flight_search,0.5714285714285714,True,3,dllm,4,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=2027-05-20"
flight_search,0.7142857142857143,True,3,dllm,5,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=2027-05-20"
flight_search,0.8571428571428571,True,3,dllm,6,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=2027-05-20"
flight_search,1.0,True,3,dllm,7,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=2027-05-20"
,0.0,False,3,ar_prefix,0,
,0.14285714285714285,False,3,ar_prefix,1,TOOL: flig
flight_search,0.2857142857142857,False,3,ar_prefix,2,"TOOL: flight_search
"
flight_search,0.42857142857142855,False,3,ar_prefix,3,"TOOL: flight_search
ARGS: orig"
flight_search,0.5714285714285714,False,3,ar_prefix,4,"TOOL: flight_search
ARGS: origin=SEA; de"
flight_search,0.7142857142857143,False,3,ar_prefix,5,"TOOL: flight_search
ARGS: origin=SEA; destination="
flight_search,0.8571428571428571,False,3,ar_prefix,6,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date="
flight_search,1.0,True,3,ar_prefix,7,"TOOL: flight_search
ARGS: origin=SEA; destination=NRT; date=2027-05-20"
,0.0,False,4,dllm,0,
flight_search,0.16666666666666666,False,4,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.3333333333333333,False,4,dllm,2,"TOOL: flight_search
ARGS: origin=ORDG"
flight_search,0.5,True,4,dllm,3,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date=2026-11-18"
flight_search,0.6666666666666666,True,4,dllm,4,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date=2026-11-18"
flight_search,0.8333333333333334,True,4,dllm,5,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date=2026-11-18"
flight_search,1.0,True,4,dllm,6,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date=2026-11-18"
,0.0,False,4,ar_prefix,0,
flight_search,0.16666666666666666,False,4,ar_prefix,1,TOOL: flight
flight_search,0.3333333333333333,False,4,ar_prefix,2,"TOOL: flight_search
ARGS"
flight_search,0.5,False,4,ar_prefix,3,"TOOL: flight_search
ARGS: origin=OR"
flight_search,0.6666666666666666,False,4,ar_prefix,4,"TOOL: flight_search
ARGS: origin=ORD; destinati"
flight_search,0.8333333333333334,False,4,ar_prefix,5,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date"
flight_search,1.0,True,4,ar_prefix,6,"TOOL: flight_search
ARGS: origin=ORD; destination=CDG; date=2026-11-18"
,0.0,False,5,dllm,0,
flight_search,0.14285714285714285,False,5,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.2857142857142857,False,5,dllm,2,"TOOL: flight_search
ARGS: origin;"
flight_search,0.42857142857142855,False,5,dllm,3,"TOOL: flight_search
ARGS: origin=LAX; destination=HND;"
flight_search,0.5714285714285714,True,5,dllm,4,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date=2027-02-22"
flight_search,0.7142857142857143,True,5,dllm,5,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date=2027-02-22"
flight_search,0.8571428571428571,True,5,dllm,6,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date=2027-02-22"
flight_search,1.0,True,5,dllm,7,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date=2027-02-22"
,0.0,False,5,ar_prefix,0,
,0.14285714285714285,False,5,ar_prefix,1,TOOL: flig
flight_search,0.2857142857142857,False,5,ar_prefix,2,"TOOL: flight_search
"
flight_search,0.42857142857142855,False,5,ar_prefix,3,"TOOL: flight_search
ARGS: orig"
flight_search,0.5714285714285714,False,5,ar_prefix,4,"TOOL: flight_search
ARGS: origin=LAX; de"
flight_search,0.7142857142857143,False,5,ar_prefix,5,"TOOL: flight_search
ARGS: origin=LAX; destination="
flight_search,0.8571428571428571,False,5,ar_prefix,6,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date="
flight_search,1.0,True,5,ar_prefix,7,"TOOL: flight_search
ARGS: origin=LAX; destination=HND; date=2027-02-22"
,0.0,False,6,dllm,0,
flight_search,0.16666666666666666,False,6,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.3333333333333333,False,6,dllm,2,"TOOL: flight_search
ARGS: origin=DF;=AMS"
flight_search,0.5,True,6,dllm,3,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date=2026-10-05"
flight_search,0.6666666666666666,True,6,dllm,4,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date=2026-10-05"
flight_search,0.8333333333333334,True,6,dllm,5,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date=2026-10-05"
flight_search,1.0,True,6,dllm,6,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date=2026-10-05"
,0.0,False,6,ar_prefix,0,
flight_search,0.16666666666666666,False,6,ar_prefix,1,TOOL: flight
flight_search,0.3333333333333333,False,6,ar_prefix,2,"TOOL: flight_search
ARGS"
flight_search,0.5,False,6,ar_prefix,3,"TOOL: flight_search
ARGS: origin=DF"
flight_search,0.6666666666666666,False,6,ar_prefix,4,"TOOL: flight_search
ARGS: origin=DFW; destinati"
flight_search,0.8333333333333334,False,6,ar_prefix,5,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date"
flight_search,1.0,True,6,ar_prefix,6,"TOOL: flight_search
ARGS: origin=DFW; destination=AMS; date=2026-10-05"
,0.0,False,7,dllm,0,
flight_search,0.14285714285714285,False,7,dllm,1,"TOOL: flight_search
ARGS: origin"
flight_search,0.2857142857142857,False,7,dllm,2,"TOOL: flight_search
ARGS: origin"
flight_search,0.42857142857142855,False,7,dllm,3,"TOOL: flight_search
ARGS: origin=MIA;=M"
flight_search,0.5714285714285714,True,7,dllm,4,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date=2027-03-12"
flight_search,0.7142857142857143,True,7,dllm,5,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date=2027-03-12"
flight_search,0.8571428571428571,True,7,dllm,6,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date=2027-03-12"
flight_search,1.0,True,7,dllm,7,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date=2027-03-12"
,0.0,False,7,ar_prefix,0,
,0.14285714285714285,False,7,ar_prefix,1,TOOL: flig
flight_search,0.2857142857142857,False,7,ar_prefix,2,"TOOL: flight_search
"
flight_search,0.42857142857142855,False,7,ar_prefix,3,"TOOL: flight_search
ARGS: orig"
flight_search,0.5714285714285714,False,7,ar_prefix,4,"TOOL: flight_search
ARGS: origin=MIA; de"
flight_search,0.7142857142857143,False,7,ar_prefix,5,"TOOL: flight_search
ARGS: origin=MIA; destination="
flight_search,0.8571428571428571,False,7,ar_prefix,6,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date="
flight_search,1.0,True,7,ar_prefix,7,"TOOL: flight_search
ARGS: origin=MIA; destination=MAD; date=2027-03-12"
,0.0,False,8,dllm,0,
flight_search,0.1111111111111111,False,8,dllm,1,"TOOL: flight_search
ARGS: origin"
