ar_ready_fraction,ar_ready_step,ar_saving_tool100ms,ar_saving_tool300ms,ar_saving_tool500ms,ar_saving_tool50ms,dllm_beats_ar,dllm_lead_fraction,dllm_ready_fraction,dllm_ready_step,dllm_saving_tool100ms,dllm_saving_tool300ms,dllm_saving_tool500ms,dllm_saving_tool50ms,final_detected_tool,final_ready,generation_ms,num_history_steps,prompt,request_index,target_args,target_tool
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,flight_search,False,1314.501154993195,10,"Find nonstop flights from SFO to Seoul on September 14, 2026.",0,"{""date"": ""2026-09-14"", ""destination"": ""ICN"", ""origin"": ""SFO""}",flight_search
1.0,7,0.0,0.0,0.0,0.0,True,0.4285714285714286,0.5714285714285714,4,0.1746791012500745,0.2621312531778024,0.20822131084738,0.09569774902029764,weather,True,472.4783290293999,8,Look up the weather in Tokyo for tomorrow.,1,"{""date"": ""tomorrow"", ""location"": ""Tokyo""}",weather
0.8888888888888888,8,0.09081871484652461,0.06652103368729838,0.052480402439292854,0.09994529801058283,True,0.33333333333333326,0.5555555555555556,5,0.18263156638127878,0.2660841347491935,0.20992160975717142,0.10049231790475478,web_search,True,447.5504699512385,10,Search the web for recent papers about diffusion language model serving.,2,"{""query"": ""diffusion language model serving recent papers""}",web_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,web_search,False,554.2014230159111,13,Retrieve internal docs about GPU memory fragmentation in serving systems.,3,"{""query"": ""GPU memory fragmentation serving systems""}",vector_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,sql_query,False,1021.729432977736,26,Query the orders table for failed payments from customer C2041.,4,"{""filter"": ""failed payments customer C2041"", ""table"": ""orders""}",sql_query
1.0,9,0.0,0.0,0.0,0.0,True,0.33333333333333337,0.6666666666666666,6,0.18162867046973052,0.20010194332697936,0.15800065069813696,0.09988535758350839,flight_search,True,450.5738699808717,10,"Find flights from JFK to LAX on December 3, 2026.",5,"{""date"": ""2026-12-03"", ""destination"": ""LAX"", ""origin"": ""JFK""}",flight_search
1.0,12,0.0,0.0,0.0,0.0,True,0.5,0.5,6,0.15288510513326434,0.3243736486735388,0.2628276908457969,0.08276967803039376,weather,True,554.0859550237656,13,Check whether it will rain in Seattle this Friday.,6,"{""date"": ""Friday"", ""location"": ""Seattle""}",weather
0.7777777777777778,7,0.18170144691901466,0.13314514601832342,0.10506775954707917,0.10031790261104738,True,0.33333333333333337,0.4444444444444444,4,0.18234348886443388,0.3328628650458088,0.2626693988676982,0.10031790261104738,web_search,True,448.41552403522655,10,Search online for OpenAI Codex API documentation.,7,"{""query"": ""OpenAI Codex API documentation""}",web_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,web_search,False,410.7942809932865,9,Retrieve documents about Ray actor scheduling overhead.,8,"{""query"": ""Ray actor scheduling overhead""}",vector_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,sql_query,False,737.9235929693095,18,Query user_events for login failures from IP 10.0.4.7.,9,"{""filter"": ""login failures IP 10.0.4.7"", ""table"": ""user_events""}",sql_query
1.0,8,0.0,0.0,0.0,0.0,True,0.375,0.625,5,0.19340829373321408,0.21810518606691162,0.17053801999474624,0.10705700300865478,flight_search,True,417.04090900020674,9,"Find a flight from BOS to LHR departing January 8, 2027.",10,"{""date"": ""2027-01-08"", ""destination"": ""LHR"", ""origin"": ""BOS""}",flight_search
1.0,10,0.0,0.0,0.0,0.0,True,0.30000000000000004,0.7,7,0.1716020868246149,0.18501980475346183,0.14736607201377466,0.0938537971346691,weather,True,482.7434960170649,11,Get the weather forecast for Paris next Monday.,11,"{""date"": ""next Monday"", ""location"": ""Paris""}",weather
0.8888888888888888,8,0.09084590428989993,0.06656481054216802,0.052525823748244264,0.09996176013496294,True,0.4444444444444444,0.4444444444444444,4,0.18238686139090135,0.3328240527108395,0.26262911874122086,0.10034415878533437,web_search,True,448.2851080247201,10,Search the web for speculative tool execution in AI agents.,12,"{""query"": ""speculative tool execution AI agents""}",web_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,web_search,False,449.3605790194124,10,Retrieve knowledge base passages about dLLM KV cache reuse.,13,"{""query"": ""dLLM KV cache reuse""}",vector_search
1.0,16,0.0,0.0,0.0,0.0,True,0.3125,0.6875,11,0.1255869338330002,0.2183981701015932,0.18188471067705345,0.0670006713567217,sql_query,True,696.2611789931543,17,Query invoices where status is overdue for account A17.,14,"{""filter"": ""overdue account A17"", ""table"": ""invoices""}",sql_query
1.0,9,0.0,0.0,0.0,0.0,True,0.5555555555555556,0.4444444444444444,4,0.1816388144740894,0.3334941419237743,0.2633249651238455,0.09989149346121541,flight_search,True,450.5431220168248,10,"Find flights from SEA to NRT on May 20, 2027.",15,"{""date"": ""2027-05-20"", ""destination"": ""NRT"", ""origin"": ""SEA""}",flight_search
1.0,9,0.0,0.0,0.0,0.0,True,0.33333333333333337,0.6666666666666666,6,0.1835952058230349,0.19904684020178046,0.15690610028526775,0.10107615131363056,weather,True,444.6765320026316,10,Check the weather in Austin this weekend.,16,"{""date"": ""this weekend"", ""location"": ""Austin""}",weather
0.875,7,0.10060028172295804,0.07235371681689304,0.0564919086955986,0.10815464453632788,True,0.375,0.5,4,0.19519774621633565,0.28941486726757215,0.2259676347823944,0.10815464453632788,web_search,True,412.30099700624123,9,Search the web for EuroSys papers on LLM serving schedulers.,17,"{""query"": ""EuroSys LLM serving scheduler papers""}",web_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,web_search,False,981.4431770355441,25,Retrieve team notes about admission control under GPU memory pressure.,18,"{""query"": ""admission control GPU memory pressure""}",vector_search
,,0.0,0.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,sql_query,False,1053.2930339686573,27,Query support_tickets for unresolved priority P0 issues.,19,"{""filter"": ""unresolved priority P0"", ""table"": ""support_tickets""}",sql_query
