detected_tool,fraction,ready,request_index,source,step,text
,0.0,False,0,dllm,0,
sql_query,0.043478260869565216,False,0,dllm,1,"TOOL: sql_query
:"
sql_query,0.08695652173913043,False,0,dllm,2,"TOOL: sql_query
ARGS: table"
sql_query,0.13043478260869565,False,0,dllm,3,"TOOL: sql_query
ARGS: table_number"
sql_query,0.17391304347826086,False,0,dllm,4,"TOOL: sql_query
ARGS: table select_number, departure_time"
sql_query,0.21739130434782608,False,0,dllm,5,"TOOL: sql_query
ARGS: table; select=flight_number, departure_time; where"
sql_query,0.2608695652173913,False,0,dllm,6,"TOOL: sql_query
ARGS: table; select=flight_number, departure_time; whereorigin"
sql_query,0.30434782608695654,False,0,dllm,7,"TOOL: sql_query
ARGS: table; select=flight_number, departure_time; whereoriginFO"
sql_query,0.34782608695652173,False,0,dllm,8,"TOOL: sql_query
ARGS: table; select=flight_number, departure_time; whereorigin='SFO'"
sql_query,0.391304347826087,False,0,dllm,9,"TOOL: sql_query
ARGS: table; select=flight_number, departure_time; whereorigin='SFO' AND destination='IC"
sql_query,0.43478260869565216,False,0,dllm,10,"TOOL: sql_query
ARGS: tableights; select=flight_number, departure_time; whereorigin='SFO' AND destination='IC"
sql_query,0.4782608695652174,False,0,dllm,11,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; whereorigin='SFO' AND destination='IC"
sql_query,0.5217391304347826,False,0,dllm,12,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='IC"
sql_query,0.5652173913043478,False,0,dllm,13,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND"
sql_query,0.6086956521739131,False,0,dllm,14,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND"
sql_query,0.6521739130434783,False,0,dllm,15,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND"
sql_query,0.6956521739130435,False,0,dllm,16,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND"
sql_query,0.7391304347826086,False,0,dllm,17,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND"
sql_query,0.782608695652174,False,0,dllm,18,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND order"
sql_query,0.8260869565217391,True,0,dllm,19,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND='2026-09-14'; order_by=departure_time; limit=5"
sql_query,0.8695652173913043,True,0,dllm,20,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND departure='2026-09-14'; order_by=departure_time; limit=5"
sql_query,0.9130434782608695,True,0,dllm,21,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND departure_date='2026-09-14'; order_by=departure_time; limit=5"
sql_query,0.9565217391304348,True,0,dllm,22,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND departure_date='2026-09-14'; order_by=departure_time; limit=5"
sql_query,1.0,True,0,dllm,23,"TOOL: sql_query
ARGS: table=flights; select=flight_number, departure_time; where=origin='SFO' AND destination='ICN' AND departure_date='2026-09-14'; order_by=departure_time; limit=5"
